"ANNEE";"MOIS";"NAT_SERIES";"DESTINATION";"SDP_AUT";"SDP_COM"
2026;2;"Brute";"Autres activites - entrepot";740828;293091
2026;2;"Brute";"Autres activites - bureau";258375;169931
2026;2;"CVS-CJO";"Ensemble des locaux non-residentiels";3198806;1491516
2026;2;"CVS-CJO";"Exploitation agricole";684494;207328
2026;2;"CVS-CJO";"Commerce";607693;282917
2026;2;"CVS-CJO";"Commerce - hotels";67550;34367
2026;2;"CVS-CJO";"Services publics";455549;334862
2026;2;"CVS-CJO";"Autres activites";1451070;666409
2026;2;"CVS-CJO";"Autres activites - industrie";491632;151831
2026;2;"CVS-CJO";"Autres activites - entrepot";670964;330649
2026;2;"CVS-CJO";"Autres activites - bureau";302101;184533
2026;1;"Brute";"Ensemble des locaux non-residentiels";2476394;1797533
2026;1;"Brute";"Exploitation agricole";721735;300615
2026;1;"Brute";"Commerce";461401;325925
2026;1;"Brute";"Commerce - hotels";43082;37782
2026;1;"Brute";"Services publics";355505;443844
2026;1;"Brute";"Autres activites";937756;727149
2026;1;"Brute";"Autres activites - industrie";246435;184662
2026;1;"Brute";"Autres activites - entrepot";444503;375303
2026;1;"Brute";"Autres activites - bureau";246817;167185
2026;1;"CVS-CJO";"Ensemble des locaux non-residentiels";2726015;1845885
2026;1;"CVS-CJO";"Exploitation agricole";768350;347215
2026;1;"CVS-CJO";"Commerce";535227;333584
2026;1;"CVS-CJO";"Commerce - hotels";43082;37782
2026;1;"CVS-CJO";"Services publics";407286;430602
2026;1;"CVS-CJO";"Autres activites";1015152;734484
2026;1;"CVS-CJO";"Autres activites - industrie";247588;197420
2026;1;"CVS-CJO";"Autres activites - entrepot";482041;312924
2026;1;"CVS-CJO";"Autres activites - bureau";268483;175645
2025;12;"Brute";"Ensemble des locaux non-residentiels";2963967;1729063
2025;12;"Brute";"Exploitation agricole";580808;268038
2025;12;"Brute";"Commerce";682596;390505
2025;12;"Brute";"Commerce - hotels";142167;51871
2025;12;"Brute";"Services publics";605987;410906
2025;12;"Brute";"Autres activites";1094574;659614
2025;12;"Brute";"Autres activites - industrie";320957;132539
2025;12;"Brute";"Autres activites - entrepot";483233;280386
2025;12;"Brute";"Autres activites - bureau";290384;246689
2025;12;"CVS-CJO";"Ensemble des locaux non-residentiels";2953053;1872378
2025;12;"CVS-CJO";"Exploitation agricole";689409;287862
2025;12;"CVS-CJO";"Commerce";614145;349590
2025;12;"CVS-CJO";"Commerce - hotels";142167;51871
2025;12;"CVS-CJO";"Services publics";574194;410879
2025;12;"CVS-CJO";"Autres activites";1075305;824047
2025;12;"CVS-CJO";"Autres activites - industrie";370138;168851
2025;12;"CVS-CJO";"Autres activites - entrepot";475975;357882
2025;12;"CVS-CJO";"Autres activites - bureau";261426;243922
2025;11;"Brute";"Ensemble des locaux non-residentiels";2823253;1779256
2025;11;"Brute";"Exploitation agricole";686771;372699
2025;11;"Brute";"Commerce";514104;331765
2025;11;"Brute";"Commerce - hotels";93313;43849
2025;11;"Brute";"Services publics";485351;296177
2025;11;"Brute";"Autres activites";1137028;778615
2025;11;"Brute";"Autres activites - industrie";372534;160828
2025;11;"Brute";"Autres activites - entrepot";510646;437565
2025;11;"Brute";"Autres activites - bureau";253665;180222
2025;11;"CVS-CJO";"Ensemble des locaux non-residentiels";2927569;1760591
2025;11;"CVS-CJO";"Exploitation agricole";706846;387532
2025;11;"CVS-CJO";"Commerce";555282;339634
2025;11;"CVS-CJO";"Commerce - hotels";93313;43849
2025;11;"CVS-CJO";"Services publics";475155;322386
2025;11;"CVS-CJO";"Autres activites";1190286;711039
2025;11;"CVS-CJO";"Autres activites - industrie";403941;161672
2025;11;"CVS-CJO";"Autres activites - entrepot";529594;396865
2025;11;"CVS-CJO";"Autres activites - bureau";263554;161333
2025;10;"Brute";"Ensemble des locaux non-residentiels";3604680;1764257
2025;10;"Brute";"Exploitation agricole";832959;367012
2025;10;"Brute";"Commerce";578717;334479
2025;10;"Brute";"Commerce - hotels";72635;40611
2025;10;"Brute";"Services publics";619091;367906
2025;10;"Brute";"Autres activites";1573914;694860
2025;10;"Brute";"Autres activites - industrie";691635;227957
2025;10;"Brute";"Autres activites - entrepot";592420;300022
2025;10;"Brute";"Autres activites - bureau";289859;166881
2025;10;"CVS-CJO";"Ensemble des locaux non-residentiels";3221938;1746613
2025;10;"CVS-CJO";"Exploitation agricole";796132;352806
2025;10;"CVS-CJO";"Commerce";541711;358100
2025;10;"CVS-CJO";"Commerce - hotels";72635;40611
2025;10;"CVS-CJO";"Services publics";497822;362392
2025;10;"CVS-CJO";"Autres activites";1386273;673315
2025;10;"CVS-CJO";"Autres activites - industrie";527633;203362
2025;10;"CVS-CJO";"Autres activites - entrepot";630888;290379
2025;10;"CVS-CJO";"Autres activites - bureau";251025;145916
2025;9;"Brute";"Ensemble des locaux non-residentiels";3750420;2145084
2025;9;"Brute";"Exploitation agricole";763434;463972
2025;9;"Brute";"Commerce";709284;384359
2025;9;"Brute";"Commerce - hotels";71545;41439
2025;9;"Brute";"Services publics";828963;459260
2025;9;"Brute";"Autres activites";1448740;837493
2025;9;"Brute";"Autres activites - industrie";359023;193957
2025;9;"Brute";"Autres activites - entrepot";815543;413369
2025;9;"Brute";"Autres activites - bureau";274174;230167
2025;9;"CVS-CJO";"Ensemble des locaux non-residentiels";3287046;1934878
2025;9;"CVS-CJO";"Exploitation agricole";681841;408858
2025;9;"CVS-CJO";"Commerce";614444;361588
2025;9;"CVS-CJO";"Commerce - hotels";71545;41439
2025;9;"CVS-CJO";"Services publics";755268;424177
2025;9;"CVS-CJO";"Autres activites";1235493;740255
2025;9;"CVS-CJO";"Autres activites - industrie";316754;155854
2025;9;"CVS-CJO";"Autres activites - entrepot";646711;354728
2025;9;"CVS-CJO";"Autres activites - bureau";228160;245496
2025;8;"Brute";"Ensemble des locaux non-residentiels";2842783;1445449
2025;8;"Brute";"Exploitation agricole";633700;295801
2025;8;"Brute";"Commerce";516111;229676
2025;8;"Brute";"Commerce - hotels";56042;19516
2025;8;"Brute";"Services publics";549621;269656
2025;8;"Brute";"Autres activites";1143352;650313
2025;8;"Brute";"Autres activites - industrie";364241;122755
2025;8;"Brute";"Autres activites - entrepot";546525;393643
2025;8;"Brute";"Autres activites - bureau";232586;133915
2025;8;"CVS-CJO";"Ensemble des locaux non-residentiels";2988155;1663192
2025;8;"CVS-CJO";"Exploitation agricole";710884;314786
2025;8;"CVS-CJO";"Commerce";564774;273222
2025;8;"CVS-CJO";"Commerce - hotels";56042;19516
2025;8;"CVS-CJO";"Services publics";557407;292769
2025;8;"CVS-CJO";"Autres activites";1155090;782415
2025;8;"CVS-CJO";"Autres activites - industrie";384125;176570
2025;8;"CVS-CJO";"Autres activites - entrepot";581041;456532
2025;8;"CVS-CJO";"Autres activites - bureau";266057;174370
2025;7;"Brute";"Ensemble des locaux non-residentiels";3630672;1903398
2025;7;"Brute";"Exploitation agricole";894486;411208
2025;7;"Brute";"Commerce";660395;308029
2025;7;"Brute";"Commerce - hotels";137065;52978
2025;7;"Brute";"Services publics";666653;282569
2025;7;"Brute";"Autres activites";1409134;901592
2025;7;"Brute";"Autres activites - industrie";355920;206721
2025;7;"Brute";"Autres activites - entrepot";719252;505799
2025;7;"Brute";"Autres activites - bureau";333962;189072
2025;7;"CVS-CJO";"Ensemble des locaux non-residentiels";3211070;1750878
2025;7;"CVS-CJO";"Exploitation agricole";761357;347153
2025;7;"CVS-CJO";"Commerce";586840;323683
2025;7;"CVS-CJO";"Commerce - hotels";137065;52978
2025;7;"CVS-CJO";"Services publics";637357;273556
2025;7;"CVS-CJO";"Autres activites";1225516;806486
2025;7;"CVS-CJO";"Autres activites - industrie";326261;186243
2025;7;"CVS-CJO";"Autres activites - entrepot";590729;475374
2025;7;"CVS-CJO";"Autres activites - bureau";295315;193697
2025;6;"Brute";"Ensemble des locaux non-residentiels";2967740;1678840
2025;6;"Brute";"Exploitation agricole";751562;344901
2025;6;"Brute";"Commerce";509476;341621
2025;6;"Brute";"Commerce - hotels";63054;57340
2025;6;"Brute";"Services publics";520910;328903
2025;6;"Brute";"Autres activites";1185796;663415
2025;6;"Brute";"Autres activites - industrie";402761;241130
2025;6;"Brute";"Autres activites - entrepot";543324;219760
2025;6;"Brute";"Autres activites - bureau";239711;202525
2025;6;"CVS-CJO";"Ensemble des locaux non-residentiels";3005386;1612217
2025;6;"CVS-CJO";"Exploitation agricole";736001;325181
2025;6;"CVS-CJO";"Commerce";508463;327784
2025;6;"CVS-CJO";"Commerce - hotels";63054;57340
2025;6;"CVS-CJO";"Services publics";506110;302100
2025;6;"CVS-CJO";"Autres activites";1254812;657152
2025;6;"CVS-CJO";"Autres activites - industrie";413977;228472
2025;6;"CVS-CJO";"Autres activites - entrepot";559165;199536
2025;6;"CVS-CJO";"Autres activites - bureau";239909;183770
2025;5;"Brute";"Ensemble des locaux non-residentiels";2750510;1557660
2025;5;"Brute";"Exploitation agricole";714644;254559
2025;5;"Brute";"Commerce";492964;316348
2025;5;"Brute";"Commerce - hotels";64433;38260
2025;5;"Brute";"Services publics";450293;276327
2025;5;"Brute";"Autres activites";1092612;710426
2025;5;"Brute";"Autres activites - industrie";291468;214658
2025;5;"Brute";"Autres activites - entrepot";574483;305240
2025;5;"Brute";"Autres activites - bureau";226661;190528
2025;5;"CVS-CJO";"Ensemble des locaux non-residentiels";2906799;1612712
2025;5;"CVS-CJO";"Exploitation agricole";686557;281534
2025;5;"CVS-CJO";"Commerce";520951;279160
2025;5;"CVS-CJO";"Commerce - hotels";64433;38260
2025;5;"CVS-CJO";"Services publics";472031;278359
2025;5;"CVS-CJO";"Autres activites";1227260;773659
2025;5;"CVS-CJO";"Autres activites - industrie";368808;223700
2025;5;"CVS-CJO";"Autres activites - entrepot";648116;357887
2025;5;"CVS-CJO";"Autres activites - bureau";259818;228119
2025;4;"Brute";"Ensemble des locaux non-residentiels";2868843;1492441
2025;4;"Brute";"Exploitation agricole";720330;298763
2025;4;"Brute";"Commerce";557519;342062
2025;4;"Brute";"Commerce - hotels";128846;69270
2025;4;"Brute";"Services publics";476621;238669
2025;4;"Brute";"Autres activites";1114375;612947
2025;4;"Brute";"Autres activites - industrie";397803;142843
2025;4;"Brute";"Autres activites - entrepot";450489;302123
2025;4;"Brute";"Autres activites - bureau";266083;167981
2025;4;"CVS-CJO";"Ensemble des locaux non-residentiels";3128831;1584520
2025;4;"CVS-CJO";"Exploitation agricole";702958;342082
2025;4;"CVS-CJO";"Commerce";574521;329651
2025;4;"CVS-CJO";"Commerce - hotels";128846;69270
2025;4;"CVS-CJO";"Services publics";550425;263133
2025;4;"CVS-CJO";"Autres activites";1300927;649654
2025;4;"CVS-CJO";"Autres activites - industrie";404343;168221
2025;4;"CVS-CJO";"Autres activites - entrepot";591347;318664
2025;4;"CVS-CJO";"Autres activites - bureau";326932;163424
2025;3;"Brute";"Ensemble des locaux non-residentiels";2966207;1809771
2025;3;"Brute";"Exploitation agricole";597002;283615
2025;3;"Brute";"Commerce";517229;331357
2025;3;"Brute";"Commerce - hotels";77591;29684
2025;3;"Brute";"Services publics";510200;341185
2025;3;"Brute";"Autres activites";1341776;853608
2025;3;"Brute";"Autres activites - industrie";302274;294024
2025;3;"Brute";"Autres activites - entrepot";766355;326319
2025;3;"Brute";"Autres activites - bureau";273147;233265
2025;3;"CVS-CJO";"Ensemble des locaux non-residentiels";3012188;1680172
2025;3;"CVS-CJO";"Exploitation agricole";586747;268790
2025;3;"CVS-CJO";"Commerce";552516;313317
2025;3;"CVS-CJO";"Commerce - hotels";77591;29684
2025;3;"CVS-CJO";"Services publics";537774;307053
2025;3;"CVS-CJO";"Autres activites";1335151;791012
2025;3;"CVS-CJO";"Autres activites - industrie";250704;225771
2025;3;"CVS-CJO";"Autres activites - entrepot";743604;330983
2025;3;"CVS-CJO";"Autres activites - bureau";248535;198160
2025;2;"Brute";"Ensemble des locaux non-residentiels";2927480;1566342
2025;2;"Brute";"Exploitation agricole";600681;348654
2025;2;"Brute";"Commerce";458874;279249
2025;2;"Brute";"Commerce - hotels";93553;33467
2025;2;"Brute";"Services publics";425143;286941
2025;2;"Brute";"Autres activites";1442785;651498
2025;2;"Brute";"Autres activites - industrie";295365;217293
2025;2;"Brute";"Autres activites - entrepot";899417;261150
2025;2;"Brute";"Autres activites - bureau";248003;173055
2025;2;"CVS-CJO";"Ensemble des locaux non-residentiels";3446162;1598706
2025;2;"CVS-CJO";"Exploitation agricole";792330;297870
2025;2;"CVS-CJO";"Commerce";542901;284224
2025;2;"CVS-CJO";"Commerce - hotels";93553;33467
2025;2;"CVS-CJO";"Services publics";502052;293019
2025;2;"CVS-CJO";"Autres activites";1608879;723593
2025;2;"CVS-CJO";"Autres activites - industrie";376035;229673
2025;2;"CVS-CJO";"Autres activites - entrepot";825542;296976
2025;2;"CVS-CJO";"Autres activites - bureau";294735;188209
2025;1;"Brute";"Ensemble des locaux non-residentiels";3172535;1967773
2025;1;"Brute";"Exploitation agricole";862379;310351
2025;1;"Brute";"Commerce";494505;331840
2025;1;"Brute";"Commerce - hotels";70341;67254
2025;1;"Brute";"Services publics";466329;361693
2025;1;"Brute";"Autres activites";1349321;963889
2025;1;"Brute";"Autres activites - industrie";437692;228843
2025;1;"Brute";"Autres activites - entrepot";624998;514790
2025;1;"Brute";"Autres activites - bureau";286631;220256
2025;1;"CVS-CJO";"Ensemble des locaux non-residentiels";3472848;2033608
2025;1;"CVS-CJO";"Exploitation agricole";900143;378680
2025;1;"CVS-CJO";"Commerce";552289;366411
2025;1;"CVS-CJO";"Commerce - hotels";70341;67254
2025;1;"CVS-CJO";"Services publics";544135;374407
2025;1;"CVS-CJO";"Autres activites";1476281;914110
2025;1;"CVS-CJO";"Autres activites - industrie";450690;245878
2025;1;"CVS-CJO";"Autres activites - entrepot";674085;420559
2025;1;"CVS-CJO";"Autres activites - bureau";313961;216969
2024;12;"Brute";"Ensemble des locaux non-residentiels";3744894;1444852
2024;12;"Brute";"Exploitation agricole";520853;308497
2024;12;"Brute";"Commerce";563721;345790
2024;12;"Brute";"Commerce - hotels";58450;39621
2024;12;"Brute";"Services publics";525537;261843
2024;12;"Brute";"Autres activites";2134780;528722
2024;12;"Brute";"Autres activites - industrie";988628;80180
2024;12;"Brute";"Autres activites - entrepot";841721;284684
2024;12;"Brute";"Autres activites - bureau";304431;163858
2024;12;"CVS-CJO";"Ensemble des locaux non-residentiels";3960824;1515176
2024;12;"CVS-CJO";"Exploitation agricole";675483;315757
2024;12;"CVS-CJO";"Commerce";560342;308321
2024;12;"CVS-CJO";"Commerce - hotels";58450;39621
2024;12;"CVS-CJO";"Services publics";522556;267129
2024;12;"CVS-CJO";"Autres activites";2202443;623969
2024;12;"CVS-CJO";"Autres activites - industrie";1152583;99385
2024;12;"CVS-CJO";"Autres activites - entrepot";830612;358042
2024;12;"CVS-CJO";"Autres activites - bureau";269978;164139
2024;11;"Brute";"Ensemble des locaux non-residentiels";2899880;1545990
2024;11;"Brute";"Exploitation agricole";683516;192738
2024;11;"Brute";"Commerce";459000;311853
2024;11;"Brute";"Commerce - hotels";74698;43289
2024;11;"Brute";"Services publics";469435;297073
2024;11;"Brute";"Autres activites";1287933;744321
2024;11;"Brute";"Autres activites - industrie";317110;205758
2024;11;"Brute";"Autres activites - entrepot";684226;267464
2024;11;"Brute";"Autres activites - bureau";286597;271099
2024;11;"CVS-CJO";"Ensemble des locaux non-residentiels";3009241;1503059
2024;11;"CVS-CJO";"Exploitation agricole";707915;189598
2024;11;"CVS-CJO";"Commerce";498019;296354
2024;11;"CVS-CJO";"Commerce - hotels";74698;43289
2024;11;"CVS-CJO";"Services publics";459096;303947
2024;11;"CVS-CJO";"Autres activites";1344211;713160
2024;11;"CVS-CJO";"Autres activites - industrie";335569;206871
2024;11;"CVS-CJO";"Autres activites - entrepot";707334;240234
2024;11;"CVS-CJO";"Autres activites - bureau";292186;277904
2024;10;"Brute";"Ensemble des locaux non-residentiels";3353474;1739563
2024;10;"Brute";"Exploitation agricole";655334;342819
2024;10;"Brute";"Commerce";541772;270985
2024;10;"Brute";"Commerce - hotels";78391;44238
2024;10;"Brute";"Services publics";562304;334798
2024;10;"Brute";"Autres activites";1594059;790960
2024;10;"Brute";"Autres activites - industrie";526789;209918
2024;10;"Brute";"Autres activites - entrepot";578308;371337
2024;10;"Brute";"Autres activites - bureau";488962;209705
2024;10;"CVS-CJO";"Ensemble des locaux non-residentiels";3018173;1716864
2024;10;"CVS-CJO";"Exploitation agricole";629697;324114
2024;10;"CVS-CJO";"Commerce";505452;283128
2024;10;"CVS-CJO";"Commerce - hotels";78391;44238
2024;10;"CVS-CJO";"Services publics";457180;316450
2024;10;"CVS-CJO";"Autres activites";1425844;793172
2024;10;"CVS-CJO";"Autres activites - industrie";401348;185334
2024;10;"CVS-CJO";"Autres activites - entrepot";621530;363511
2024;10;"CVS-CJO";"Autres activites - bureau";421294;191949
2024;9;"Brute";"Ensemble des locaux non-residentiels";3508269;1811996
2024;9;"Brute";"Exploitation agricole";626688;331976
2024;9;"Brute";"Commerce";633727;289706
2024;9;"Brute";"Commerce - hotels";130078;44518
2024;9;"Brute";"Services publics";491483;369605
2024;9;"Brute";"Autres activites";1756369;820708
2024;9;"Brute";"Autres activites - industrie";512670;357840
2024;9;"Brute";"Autres activites - entrepot";836786;297054
2024;9;"Brute";"Autres activites - bureau";406913;165814
2024;9;"CVS-CJO";"Ensemble des locaux non-residentiels";3025232;1626422
2024;9;"CVS-CJO";"Exploitation agricole";560531;288336
2024;9;"CVS-CJO";"Commerce";564345;273975
2024;9;"CVS-CJO";"Commerce - hotels";130078;44518
2024;9;"CVS-CJO";"Services publics";439118;348024
2024;9;"CVS-CJO";"Autres activites";1461238;716087
2024;9;"CVS-CJO";"Autres activites - industrie";455688;292978
2024;9;"CVS-CJO";"Autres activites - entrepot";673784;253678
2024;9;"CVS-CJO";"Autres activites - bureau";337845;168937
2024;8;"Brute";"Ensemble des locaux non-residentiels";3194092;1092790
2024;8;"Brute";"Exploitation agricole";542988;221590
2024;8;"Brute";"Commerce";473361;183817
2024;8;"Brute";"Commerce - hotels";96301;12077
2024;8;"Brute";"Services publics";442116;207736
2024;8;"Brute";"Autres activites";1735626;479647
2024;8;"Brute";"Autres activites - industrie";570172;154548
2024;8;"Brute";"Autres activites - entrepot";906696;186648
2024;8;"Brute";"Autres activites - bureau";258758;138451
2024;8;"CVS-CJO";"Ensemble des locaux non-residentiels";3182133;1292954
2024;8;"CVS-CJO";"Exploitation agricole";568142;256153
2024;8;"CVS-CJO";"Commerce";483784;234022
2024;8;"CVS-CJO";"Commerce - hotels";96301;12077
2024;8;"CVS-CJO";"Services publics";436986;231709
2024;8;"CVS-CJO";"Autres activites";1693221;571070
2024;8;"CVS-CJO";"Autres activites - industrie";596083;217457
2024;8;"CVS-CJO";"Autres activites - entrepot";958291;221416
2024;8;"CVS-CJO";"Autres activites - bureau";298045;171425
2024;7;"Brute";"Ensemble des locaux non-residentiels";3663465;1895527
2024;7;"Brute";"Exploitation agricole";780152;313172
2024;7;"Brute";"Commerce";716866;354957
2024;7;"Brute";"Commerce - hotels";117987;57687
2024;7;"Brute";"Services publics";579214;364479
