Department,Millesime,Indicateur,Valeur
03,2021,Deces,4628
03,2021,Naissances,2772
03,2022,Deces,4684
03,2022,Naissances,2618
03,2023,Actifs1564,141112
03,2023,ArriveesHorsDep,10732
03,2023,Chomeurs1564,16765
03,2023,Deces,4545
03,2023,Logements,210435
03,2023,LogementsVacants,30370
03,2023,Naissances,2489
03,2023,NiveauVieMedian,24430
03,2023,Pop65Plus,96438
03,2023,PopUnAnPlus,330645
03,2023,Population,333298
03,2023,PopulationLegale,333298
03,2023,RPMaisons,121621
03,2023,RPProprietaires,107614
03,2023,RPProprietaires65Plus,47868
03,2023,RPTotalAge,164718
03,2023,ResidencesPrincipales,164718
03,2023,TauxPauvrete,16
03,2024,Deces,4494
03,2024,Naissances,2498
03,2025,Deces,4435
03,2025,Naissances,2338
04,1968,PopulationLegale,104813
04,1975,PopulationLegale,112178
04,1982,PopulationLegale,119068
04,1990,PopulationLegale,130883
04,1999,PopulationLegale,139561
04,2007,PopulationLegale,156067
04,2008,Deces,1574
04,2008,Naissances,1569
04,2009,Deces,1644
04,2009,Naissances,1513
04,2010,Deces,1652
04,2010,Naissances,1547
04,2011,Deces,1657
04,2011,Naissances,1578
04,2012,Actifs1564,70546
04,2012,ArriveesHorsDep,7256
04,2012,Chomeurs1564,9328
04,2012,Deces,1674
04,2012,Logements,122087
04,2012,LogementsVacants,10007
04,2012,Naissances,1561
04,2012,Pop65Plus,36553
04,2012,PopUnAnPlus,159588
04,2012,Population,161241
04,2012,PopulationLegale,161241
04,2012,RPMaisons,48979
04,2012,RPProprietaires,43260
04,2012,ResidencesPrincipales,73890
04,2013,Deces,1723
04,2013,Naissances,1629
04,2014,Deces,1812
04,2014,Naissances,1538
04,2015,Deces,1832
04,2015,Naissances,1501
04,2016,Deces,1892
04,2016,Naissances,1499
04,2017,Actifs1564,70689
04,2017,ArriveesHorsDep,6513
04,2017,Chomeurs1564,10315
04,2017,Deces,1893
04,2017,Logements,127940
04,2017,LogementsVacants,10641
04,2017,Naissances,1447
04,2017,Pop65Plus,41596
04,2017,PopUnAnPlus,162454
04,2017,Population,163915
04,2017,PopulationLegale,163915
04,2017,RPMaisons,52365
04,2017,RPProprietaires,45822
04,2017,ResidencesPrincipales,77250
04,2018,Deces,1958
04,2018,Naissances,1395
04,2019,Deces,1961
04,2019,Naissances,1369
04,2020,Deces,2068
04,2020,Naissances,1329
04,2021,Deces,2196
04,2021,Naissances,1447
04,2022,Deces,2091
04,2022,Naissances,1373
04,2023,Actifs1564,72109
04,2023,ArriveesHorsDep,6391
04,2023,Chomeurs1564,7836
04,2023,Deces,1982
04,2023,Logements,133546
04,2023,LogementsVacants,10716
04,2023,Naissances,1282
04,2023,NiveauVieMedian,24240
04,2023,Pop65Plus,46759
04,2023,PopUnAnPlus,166747
04,2023,Population,168054
04,2023,PopulationLegale,168054
04,2023,RPMaisons,55132
04,2023,RPProprietaires,49121
04,2023,RPProprietaires65Plus,22365
04,2023,RPTotalAge,82253
04,2023,ResidencesPrincipales,82253
04,2023,TauxPauvrete,19
04,2024,Deces,2032
04,2024,Naissances,1276
04,2025,Deces,2043
04,2025,Naissances,1269
05,1968,PopulationLegale,91790
05,1975,PopulationLegale,97358
05,1982,PopulationLegale,105070
05,1990,PopulationLegale,113300
05,1999,PopulationLegale,121419
05,2007,PopulationLegale,132482
05,2008,Deces,1227
05,2008,Naissances,1441
05,2009,Deces,1258
05,2009,Naissances,1513
05,2010,Deces,1307
05,2010,Naissances,1470
05,2011,Deces,1232
05,2011,Naissances,1399
05,2012,Actifs1564,64287
05,2012,ArriveesHorsDep,5740
05,2012,Chomeurs1564,6160
05,2012,Deces,1308
05,2012,Logements,130368
05,2012,LogementsVacants,7791
05,2012,Naissances,1441
05,2012,Pop65Plus,29079
05,2012,PopUnAnPlus,138053
05,2012,Population,139554
05,2012,PopulationLegale,139554
05,2012,RPMaisons,33810
05,2012,RPProprietaires,37579
05,2012,ResidencesPrincipales,63636
05,2013,Deces,1270
05,2013,Naissances,1406
