Date,Demande_Credit_Realisee,Demande_Credit_Perspectives
2003-01-01,45.45454406738281,-36.3636360168457
2003-04-01,33.33333206176758,-8.333333015441895
2003-07-01,58.33333206176758,0.0
2003-10-01,58.33333206176758,-8.333333015441895
2004-01-01,66.66666412353516,-25.0
2004-04-01,33.33333206176758,-8.333333015441895
2004-07-01,66.66666412353516,0.0
2004-10-01,33.33333206176758,-8.333333015441895
2005-01-01,16.66666603088379,-33.33333206176758
2005-04-01,25.0,16.66666603088379
2005-07-01,50.0,16.66666603088379
2005-10-01,18.18181800842285,9.090909004211426
2006-01-01,36.3636360168457,-18.18181800842285
2006-04-01,8.333333015441895,-8.333333015441895
2006-07-01,18.18181800842285,-18.18181800842285
2006-10-01,9.090909004211426,-36.3636360168457
2007-01-01,-9.090909004211426,-36.3636360168457
2007-04-01,-45.45454406738281,-27.272727966308594
2007-07-01,-16.66666603088379,-25.0
2007-10-01,-8.333333015441895,-41.66666793823242
2008-01-01,-8.333333015441895,-41.66666793823242
2008-04-01,-50.0,-58.33333206176758
2008-07-01,-58.33333206176758,-83.33333587646484
2008-10-01,-66.66666412353516,-83.33333587646484
2009-01-01,-75.0,-58.33333206176758
2009-04-01,-30.769229888916016,7.692307472229004
2009-07-01,30.769229888916016,-7.692307472229004
2009-10-01,38.46154022216797,23.076923370361328
2010-01-01,53.846153259277344,46.153846740722656
2010-04-01,30.769229888916016,30.769229888916016
2010-07-01,61.53845977783203,15.384614944458008
2010-10-01,46.153846740722656,30.769229888916016
2011-01-01,69.23076629638672,-7.692307472229004
2011-04-01,-38.46154022216797,-15.384614944458008
2011-07-01,-7.692307472229004,-46.153846740722656
2011-10-01,-61.53845977783203,-69.23076629638672
2012-01-01,-30.769229888916016,-76.92308044433594
2012-04-01,-76.92308044433594,-61.53845977783203
2012-07-01,-38.46154022216797,-23.076923370361328
2012-10-01,-23.076923370361328,-15.384614944458008
2013-01-01,-15.384614944458008,-38.46154022216797
2013-04-01,-23.076923370361328,-23.076923370361328
2013-07-01,38.46154022216797,0.0
2013-10-01,30.769229888916016,-7.692307472229004
2014-01-01,-7.692307472229004,-7.692307472229004
2014-04-01,-7.692307472229004,-23.076923370361328
2014-07-01,-15.384614944458008,-7.692307472229004
2014-10-01,15.384614944458008,23.076923370361328
2015-01-01,0.0,0.0
2015-04-01,15.384614944458008,0.0
2015-07-01,30.769229888916016,7.692307472229004
2015-10-01,0.0,0.0
2016-01-01,7.692307472229004,7.692307472229004
2016-04-01,15.384614944458008,46.153846740722656
2016-07-01,38.46154022216797,15.384614944458008
2016-10-01,30.769229888916016,15.384614944458008
2017-01-01,30.769229888916016,15.384614944458008
2017-04-01,53.846153259277344,-7.692307472229004
2017-07-01,15.384614944458008,-15.384614944458008
2017-10-01,-30.769229888916016,-7.692307472229004
2018-01-01,-30.769229888916016,-23.076923370361328
2018-04-01,-23.076923370361328,-15.384614944458008
2018-07-01,7.692307472229004,23.076923370361328
2018-10-01,-7.692307472229004,0.0
2019-01-01,7.692307472229004,-7.692307472229004
2019-04-01,16.66666603088379,-16.66666603088379
2019-07-01,33.33333206176758,-25.0
2019-10-01,33.33333206176758,16.66666603088379
2020-01-01,41.66666793823242,-16.66666603088379
2020-04-01,16.66666603088379,-83.33333587646484
2020-07-01,-75.0,41.66666793823242
2020-10-01,16.66666603088379,-8.333333015441895
2021-01-01,0.0,8.333333015441895
2021-04-01,-25.0,0.0
2021-07-01,33.33333206176758,0.0
2021-10-01,8.333333015441895,-8.333333015441895
2022-01-01,0.0,-16.66666603088379
2022-04-01,0.0,-25.0
2022-07-01,-25.0,-75.0
2022-10-01,-16.66666603088379,-75.0
2023-01-01,-90.90908813476562,-54.54545593261719
2023-04-01,-80.0,-60.0
2023-07-01,-70.0,-10.0
2023-10-01,-60.0,0.0
2024-01-01,-60.0,10.0
2024-04-01,-33.33333333333333,22.22222222222222
2024-07-01,0.0,33.33333333333333
2024-10-01,66.66666666666666,77.77777777777779
2025-01-01,50.0,37.5
2025-04-01,25.0,37.5
2025-07-01,25.0,37.5
2025-10-01,37.5,-25.0
2026-01-01,14.285714285714285,-14.285714285714285
2026-04-01,0.0,-37.5
