Date,Insee_Confiance_Menages
2002-03-01,112
2002-04-01,110
2002-05-01,114
2002-06-01,113
2002-07-01,110
2002-08-01,110
2002-09-01,108
2002-10-01,109
2002-11-01,109
2002-12-01,109
2003-01-01,106
2003-02-01,103
2003-03-01,99
2003-04-01,100
2003-05-01,102
2003-06-01,102
2003-07-01,101
2003-08-01,101
2003-09-01,101
2003-10-01,100
2003-11-01,100
2003-12-01,100
2004-01-01,101
2004-02-01,100
2004-03-01,101
2004-04-01,103
2004-05-01,102
2004-06-01,101
2004-07-01,101
2004-08-01,102
2004-09-01,104
2004-10-01,103
2004-11-01,102
2004-12-01,101
2005-01-01,99
2005-02-01,101
2005-03-01,99
2005-04-01,99
2005-05-01,97
2005-06-01,96
2005-07-01,96
2005-08-01,95
2005-09-01,95
2005-10-01,94
2005-11-01,94
2005-12-01,97
2006-01-01,99
2006-02-01,100
2006-03-01,99
2006-04-01,98
2006-05-01,97
2006-06-01,98
2006-07-01,100
2006-08-01,100
2006-09-01,101
2006-10-01,101
2006-11-01,101
2006-12-01,100
2007-01-01,101
2007-02-01,102
2007-03-01,103
2007-04-01,104
2007-05-01,110
2007-06-01,110
2007-07-01,109
2007-08-01,105
2007-09-01,102
2007-10-01,101
2007-11-01,96
2007-12-01,96
2008-01-01,91
2008-02-01,92
2008-03-01,91
2008-04-01,90
2008-05-01,87
2008-06-01,84
2008-07-01,84
2008-08-01,84
2008-09-01,86
2008-10-01,83
2008-11-01,85
2008-12-01,84
2009-01-01,86
2009-02-01,85
2009-03-01,85
2009-04-01,88
2009-05-01,88
2009-06-01,91
2009-07-01,90
2009-08-01,91
2009-09-01,92
2009-10-01,92
2009-11-01,95
2009-12-01,95
2010-01-01,96
2010-02-01,93
2010-03-01,92
2010-04-01,90
2010-05-01,89
2010-06-01,88
2010-07-01,88
2010-08-01,91
2010-09-01,92
2010-10-01,93
2010-11-01,95
2010-12-01,92
2011-01-01,90
2011-02-01,91
2011-03-01,88
2011-04-01,87
2011-05-01,88
2011-06-01,88
2011-07-01,91
2011-08-01,87
2011-09-01,85
2011-10-01,88
2011-11-01,85
2011-12-01,83
2012-01-01,85
2012-02-01,86
2012-03-01,90
2012-04-01,91
2012-05-01,94
2012-06-01,93
2012-07-01,90
2012-08-01,87
2012-09-01,85
2012-10-01,85
2012-11-01,85
2012-12-01,87
2013-01-01,85
2013-02-01,86
2013-03-01,83
2013-04-01,84
2013-05-01,81
2013-06-01,80
2013-07-01,84
2013-08-01,86
2013-09-01,87
2013-10-01,88
2013-11-01,86
2013-12-01,86
2014-01-01,88
2014-02-01,86
2014-03-01,89
2014-04-01,86
2014-05-01,87
2014-06-01,87
2014-07-01,88
2014-08-01,88
2014-09-01,87
2014-10-01,87
2014-11-01,89
2014-12-01,91
2015-01-01,91
2015-02-01,94
2015-03-01,96
2015-04-01,96
2015-05-01,95
2015-06-01,95
2015-07-01,95
2015-08-01,96
2015-09-01,99
2015-10-01,98
2015-11-01,98
2015-12-01,98
2016-01-01,99
2016-02-01,97
2016-03-01,96
2016-04-01,96
2016-05-01,100
2016-06-01,98
2016-07-01,97
2016-08-01,98
2016-09-01,99
2016-10-01,100
2016-11-01,101
2016-12-01,102
2017-01-01,102
2017-02-01,103
2017-03-01,103
2017-04-01,102
2017-05-01,103
2017-06-01,109
2017-07-01,105
2017-08-01,104
2017-09-01,103
2017-10-01,101
2017-11-01,104
2017-12-01,107
2018-01-01,106
2018-02-01,102
2018-03-01,102
2018-04-01,103
2018-05-01,100
2018-06-01,98
2018-07-01,98
2018-08-01,98
2018-09-01,95
2018-10-01,96
2018-11-01,93
2018-12-01,89
2019-01-01,95
2019-02-01,97
2019-03-01,98
2019-04-01,99
2019-05-01,101
2019-06-01,102
2019-07-01,103
2019-08-01,104
2019-09-01,105
2019-10-01,105
2019-11-01,107
2019-12-01,103
2020-01-01,105
2020-02-01,105
2020-03-01,103
2020-04-01,92
2020-05-01,89
2020-06-01,95
2020-07-01,94
2020-08-01,94
2020-09-01,96
2020-10-01,94
2020-11-01,89
2020-12-01,96
2021-01-01,93
2021-02-01,92
2021-03-01,96
2021-04-01,97
2021-05-01,99
2021-06-01,105
2021-07-01,103
2021-08-01,100
2021-09-01,103
2021-10-01,100
2021-11-01,99
2021-12-01,100
2022-01-01,98
2022-02-01,97
2022-03-01,89
2022-04-01,88
2022-05-01,86
2022-06-01,83
2022-07-01,81
2022-08-01,84
2022-09-01,81
2022-10-01,83
2022-11-01,84
2022-12-01,83
2023-01-01,82
2023-02-01,82
2023-03-01,81
2023-04-01,84
2023-05-01,84
2023-06-01,87
2023-07-01,87
2023-08-01,86
2023-09-01,85
2023-10-01,85
2023-11-01,89
2023-12-01,89
2024-01-01,91
2024-02-01,89
2024-03-01,91
2024-04-01,90
2024-05-01,91
2024-06-01,91
2024-07-01,92
2024-08-01,93
2024-09-01,96
2024-10-01,93
2024-11-01,90
2024-12-01,88
2025-01-01,91
2025-02-01,93
2025-03-01,91
2025-04-01,92
2025-05-01,89
2025-06-01,89
2025-07-01,89
2025-08-01,88
2025-09-01,88
2025-10-01,90
2025-11-01,89
2025-12-01,90
2026-01-01,89
2026-02-01,91
2026-03-01,89
2026-04-01,84
2026-05-01,82
2026-06-01,84
