"ANNEE";"MOIS";"TYPE_LGT";"NAT_SERIES";"LOG_AUT";"LOG_COM";"SDP_AUT";"SDP_COM"
"2025";"10";"Collectif";"CVS-CJO";14454;11536;857743;750834
"2025";"10";"Individuel groupe";"Brute";3754;3124;320004;271909
"2025";"10";"Individuel groupe";"CVS-CJO";3476;2833;296306;246581
"2025";"10";"Individuel pur";"Brute";7269;6365;815145;728094
"2025";"10";"Individuel pur";"CVS-CJO";7518;5547;843068;634523
"2025";"10";"Residence";"Brute";5272;3023;217700;148900
"2025";"10";"Residence";"CVS-CJO";4743;3514;195856;173085
"2025";"10";"Tous Logements";"Brute";32477;25016;2313137;1962740
"2025";"10";"Tous Logements";"CVS-CJO";30191;23430;2150319;1838303
"2025";"09";"Collectif";"Brute";17381;10723;1049376;694252
"2025";"09";"Collectif";"CVS-CJO";15230;10374;919510;671656
"2025";"09";"Individuel groupe";"Brute";3827;2941;327121;260942
"2025";"09";"Individuel groupe";"CVS-CJO";3510;2478;300025;219862
"2025";"09";"Individuel pur";"Brute";8436;6918;946063;804553
"2025";"09";"Individuel pur";"CVS-CJO";7504;5524;841543;642433
"2025";"09";"Residence";"Brute";6347;3159;259700;134300
"2025";"09";"Residence";"CVS-CJO";5719;3215;234004;136681
"2025";"09";"Tous Logements";"Brute";35991;23741;2582260;1894047
"2025";"09";"Tous Logements";"CVS-CJO";31963;21591;2293262;1722521
"2025";"08";"Collectif";"Brute";13732;3722;806621;238489
"2025";"08";"Collectif";"CVS-CJO";16200;9094;951592;582703
"2025";"08";"Individuel groupe";"Brute";2695;1202;231729;98423
"2025";"08";"Individuel groupe";"CVS-CJO";3477;2582;298969;211421
"2025";"08";"Individuel pur";"Brute";6278;2218;702616;254482
"2025";"08";"Individuel pur";"CVS-CJO";7240;5092;810280;584230
"2025";"08";"Residence";"Brute";2411;974;122600;43500
"2025";"08";"Residence";"CVS-CJO";2777;2680;141211;119692
"2025";"08";"Tous Logements";"Brute";25116;8116;1863566;634894
"2025";"08";"Tous Logements";"CVS-CJO";29694;19448;2203246;1521368
"2025";"07";"Collectif";"Brute";22662;11430;1355408;726322
"2025";"07";"Collectif";"CVS-CJO";16643;11429;995413;726258
"2025";"07";"Individuel groupe";"Brute";4448;2710;367791;229794
"2025";"07";"Individuel groupe";"CVS-CJO";3841;2797;317600;237171
"2025";"07";"Individuel pur";"Brute";8291;5519;935475;647891
"2025";"07";"Individuel pur";"CVS-CJO";7330;5382;827045;631808
"2025";"07";"Residence";"Brute";5761;3124;238400;135400
"2025";"07";"Residence";"CVS-CJO";4226;2784;174879;120664
"2025";"07";"Tous Logements";"Brute";41162;22783;2897074;1739407
"2025";"07";"Tous Logements";"CVS-CJO";32040;22392;2255047;1709555
"2025";"06";"Collectif";"Brute";19317;12188;1194059;777124
"2025";"06";"Collectif";"CVS-CJO";18159;10972;1122478;699590
"2025";"06";"Individuel groupe";"Brute";4563;2835;385704;257091
"2025";"06";"Individuel groupe";"CVS-CJO";4169;2659;352400;241130
"2025";"06";"Individuel pur";"Brute";7199;5359;816097;629248
"2025";"06";"Individuel pur";"CVS-CJO";7007;5011;794331;588386
"2025";"06";"Residence";"Brute";6405;4788;271100;185700
"2025";"06";"Residence";"CVS-CJO";5721;4320;242149;167549
"2025";"06";"Tous Logements";"Brute";37484;25170;2666960;1849163
"2025";"06";"Tous Logements";"CVS-CJO";35056;22962;2494210;1686948
"2025";"05";"Collectif";"Brute";14515;6912;919881;450404
"2025";"05";"Collectif";"CVS-CJO";15692;8345;994473;543782
"2025";"05";"Individuel groupe";"Brute";3310;2155;290010;181733
"2025";"05";"Individuel groupe";"CVS-CJO";3428;2429;300349;204840
"2025";"05";"Individuel pur";"Brute";6446;4922;730844;590475
"2025";"05";"Individuel pur";"CVS-CJO";6868;4878;778690;585196
"2025";"05";"Residence";"Brute";3746;1508;150500;72500
"2025";"05";"Residence";"CVS-CJO";4226;1935;169785;93029
"2025";"05";"Tous Logements";"Brute";28017;15497;2091235;1295112
"2025";"05";"Tous Logements";"CVS-CJO";30214;17587;2255223;1469777
"2025";"04";"Collectif";"Brute";16634;9483;1048062;611251
"2025";"04";"Collectif";"CVS-CJO";17550;10630;1105777;685184
"2025";"04";"Individuel groupe";"Brute";3684;2555;306235;232333
"2025";"04";"Individuel groupe";"CVS-CJO";3834;2568;318704;233515
"2025";"04";"Individuel pur";"Brute";6562;5339;746590;620524
"2025";"04";"Individuel pur";"CVS-CJO";6700;4963;762291;576824
"2025";"04";"Residence";"Brute";5785;1216;255600;59000
"2025";"04";"Residence";"CVS-CJO";6744;1872;297972;90829
"2025";"04";"Tous Logements";"Brute";32665;18593;2356487;1523108
"2025";"04";"Tous Logements";"CVS-CJO";34828;20033;2512528;1641070
"2025";"03";"Collectif";"Brute";16708;9605;1069511;609676
"2025";"03";"Collectif";"CVS-CJO";15204;9648;973237;612405
"2025";"03";"Individuel groupe";"Brute";4130;2339;349135;214539
"2025";"03";"Individuel groupe";"CVS-CJO";3811;2358;322168;216282
"2025";"03";"Individuel pur";"Brute";6819;5561;778995;657328
"2025";"03";"Individuel pur";"CVS-CJO";6768;4886;773169;577541
"2025";"03";"Residence";"Brute";4238;2353;212800;104000
"2025";"03";"Residence";"CVS-CJO";3964;2867;199042;126718
"2025";"03";"Tous Logements";"Brute";31895;19858;2410441;1585543
"2025";"03";"Tous Logements";"CVS-CJO";29747;19759;2248108;1577638
"2025";"02";"Collectif";"Brute";11197;7784;733091;473150
"2025";"02";"Collectif";"CVS-CJO";13884;10372;909014;630461
"2025";"02";"Individuel groupe";"Brute";3332;2345;287851;198265
"2025";"02";"Individuel groupe";"CVS-CJO";3488;2513;301328;212469
"2025";"02";"Individuel pur";"Brute";6173;4804;718071;554152
"2025";"02";"Individuel pur";"CVS-CJO";6446;4769;749828;550115
"2025";"02";"Residence";"Brute";3190;2287;145200;108100
"2025";"02";"Residence";"CVS-CJO";3654;2512;166320;118735
"2025";"02";"Tous Logements";"Brute";23892;17220;1884213;1333667
"2025";"02";"Tous Logements";"CVS-CJO";27472;20166;2166545;1561831
"2025";"01";"Collectif";"Brute";11064;8115;735707;519407
"2025";"01";"Collectif";"CVS-CJO";13608;10771;904872;689406
"2025";"01";"Individuel groupe";"Brute";3381;2618;297788;230612
"2025";"01";"Individuel groupe";"CVS-CJO";3517;2622;309766;230964
"2025";"01";"Individuel pur";"Brute";6636;5127;762261;610074
"2025";"01";"Individuel pur";"CVS-CJO";6332;4989;727341;593653
"2025";"01";"Residence";"Brute";2534;3284;111500;127400
"2025";"01";"Residence";"CVS-CJO";3602;2995;158494;116188
"2025";"01";"Tous Logements";"Brute";23615;19144;1907256;1487493
"2025";"01";"Tous Logements";"CVS-CJO";27059;21377;2185409;1660998
"2024";"12";"Collectif";"Brute";14624;22225;936756;1396045
"2024";"12";"Collectif";"CVS-CJO";13553;11187;868152;702702
"2024";"12";"Individuel groupe";"Brute";3655;3727;304462;320560
"2024";"12";"Individuel groupe";"CVS-CJO";3620;2790;301546;239968
"2024";"12";"Individuel pur";"Brute";6363;4162;726344;475525
"2024";"12";"Individuel pur";"CVS-CJO";6295;5023;718582;573898
"2024";"12";"Residence";"Brute";4214;5174;171900;233700
"2024";"12";"Residence";"CVS-CJO";3334;3013;136002;136092
"2024";"12";"Tous Logements";"Brute";28856;35288;2139462;2425830
"2024";"12";"Tous Logements";"CVS-CJO";26802;22013;1987173;1513256
"2024";"11";"Collectif";"Brute";11609;13946;754833;887638
"2024";"11";"Collectif";"CVS-CJO";14095;11333;916476;721325
"2024";"11";"Individuel groupe";"Brute";2896;2715;260605;242512
"2024";"11";"Individuel groupe";"CVS-CJO";3586;2625;322697;234473
"2024";"11";"Individuel pur";"Brute";5478;4741;625675;546645
"2024";"11";"Individuel pur";"CVS-CJO";6225;5048;710994;582043
"2024";"11";"Residence";"Brute";2279;3241;94900;151800
"2024";"11";"Residence";"CVS-CJO";3188;2270;132752;106321
"2024";"11";"Tous Logements";"Brute";22262;24643;1736013;1828595
"2024";"11";"Tous Logements";"CVS-CJO";27094;21276;2112817;1578752
"2024";"10";"Collectif";"Brute";13648;13282;880250;850112
"2024";"10";"Collectif";"CVS-CJO";11949;12422;770670;795068
"2024";"10";"Individuel groupe";"Brute";3829;2921;329217;256943
"2024";"10";"Individuel groupe";"CVS-CJO";3462;2575;297662;226507
"2024";"10";"Individuel pur";"Brute";6100;5654;714164;660287
"2024";"10";"Individuel pur";"CVS-CJO";6305;4866;738165;568263
"2024";"10";"Residence";"Brute";5787;1406;223400;66600
"2024";"10";"Residence";"CVS-CJO";5497;1877;212205;88910
"2024";"10";"Tous Logements";"Brute";29364;23263;2147031;1833942
"2024";"10";"Tous Logements";"CVS-CJO";27213;21740;1989755;1713876
"2024";"09";"Collectif";"Brute";13144;10347;861821;679264
"2024";"09";"Collectif";"CVS-CJO";11975;9845;785172;646308
"2024";"09";"Individuel groupe";"Brute";3825;2908;323986;247922
"2024";"09";"Individuel groupe";"CVS-CJO";3662;2514;310180;214332
"2024";"09";"Individuel pur";"Brute";6619;6164;776603;731165
"2024";"09";"Individuel pur";"CVS-CJO";6032;5043;707731;598194
"2024";"09";"Residence";"Brute";4010;1912;185000;91400
"2024";"09";"Residence";"CVS-CJO";3382;1993;156027;95272
"2024";"09";"Tous Logements";"Brute";27598;21331;2147410;1749751
"2024";"09";"Tous Logements";"CVS-CJO";25051;19395;1949227;1590944
"2024";"08";"Collectif";"Brute";11316;4588;706732;290647
"2024";"08";"Collectif";"CVS-CJO";13625;10988;850939;696083
"2024";"08";"Individuel groupe";"Brute";2857;1273;244799;105195
"2024";"08";"Individuel groupe";"CVS-CJO";3617;2775;309919;229314
"2024";"08";"Individuel pur";"Brute";5485;2402;645903;277193
"2024";"08";"Individuel pur";"CVS-CJO";6095;5538;717735;639090
"2024";"08";"Residence";"Brute";3013;1465;142000;72800
"2024";"08";"Residence";"CVS-CJO";3538;3148;166743;156433
"2024";"08";"Tous Logements";"Brute";22671;9728;1739434;745835
"2024";"08";"Tous Logements";"CVS-CJO";26875;22449;2061986;1721140
"2024";"07";"Collectif";"Brute";18797;11789;1177085;746035
"2024";"07";"Collectif";"CVS-CJO";13390;11851;838494;749958
"2024";"07";"Individuel groupe";"Brute";3866;2137;335362;184243
"2024";"07";"Individuel groupe";"CVS-CJO";3309;2143;287044;184760
"2024";"07";"Individuel pur";"Brute";7380;5713;856488;667910
"2024";"07";"Individuel pur";"CVS-CJO";6352;5407;737183;632135
"2024";"07";"Residence";"Brute";5781;3570;255800;160400
"2024";"07";"Residence";"CVS-CJO";4060;3353;179648;150650
"2024";"07";"Tous Logements";"Brute";35824;23209;2624735;1758588
"2024";"07";"Tous Logements";"CVS-CJO";27111;22754;1986355;1724112
"2024";"06";"Collectif";"Brute";13782;11400;886761;745642
"2024";"06";"Collectif";"CVS-CJO";12652;10486;814055;685860
"2024";"06";"Individuel groupe";"Brute";3721;2486;323972;221686
"2024";"06";"Individuel groupe";"CVS-CJO";3420;2317;297765;206616
"2024";"06";"Individuel pur";"Brute";6085;5654;706621;661020
"2024";"06";"Individuel pur";"CVS-CJO";6026;5313;699770;621153
"2024";"06";"Residence";"Brute";4075;2806;175800;129300
"2024";"06";"Residence";"CVS-CJO";3424;2477;147715;114140
"2024";"06";"Tous Logements";"Brute";27663;22346;2093154;1757648
"2024";"06";"Tous Logements";"CVS-CJO";25522;20593;1931153;1619764
"2024";"05";"Collectif";"Brute";12055;10380;772978;691679
"2024";"05";"Collectif";"CVS-CJO";12690;12766;813695;850672
"2024";"05";"Individuel groupe";"Brute";3646;2322;305715;210824
"2024";"05";"Individuel groupe";"CVS-CJO";3705;2533;310662;229982
"2024";"05";"Individuel pur";"Brute";5792;5386;671587;640500
"2024";"05";"Individuel pur";"CVS-CJO";6131;5348;710894;635981
"2024";"05";"Residence";"Brute";2169;2623;112200;108500
"2024";"05";"Residence";"CVS-CJO";2722;3022;140806;125005
"2024";"05";"Tous Logements";"Brute";23662;20711;1862480;1651503
"2024";"05";"Tous Logements";"CVS-CJO";25248;23669;1987317;1887375
"2024";"04";"Collectif";"Brute";12973;9655;843179;624093
"2024";"04";"Collectif";"CVS-CJO";12975;10787;843309;697265
"2024";"04";"Individuel groupe";"Brute";3136;2733;272878;245585
"2024";"04";"Individuel groupe";"CVS-CJO";3272;2688;284712;241541
"2024";"04";"Individuel pur";"Brute";6400;6326;769310;735381
"2024";"04";"Individuel pur";"CVS-CJO";6602;5849;793591;679931
