Date,Region,Department,Type,Permis,MisesEnChantier,SurfacePermis,SurfaceChantiers
2001-12-01,France,France,Logement en Résidence,765,1152,38206,55182
2001-12-01,France,France,Maison Individuelle Groupée,3485,2995,317564,286024
2001-12-01,France,France,Maison Individuelle Pure,14881,14305,1882501,1808524
2002-01-01,France,France,Logement Collectif,11144,9968,779218,685278
2002-01-01,France,France,Logement en Résidence,954,808,61229,36501
2002-01-01,France,France,Maison Individuelle Groupée,3416,3241,320193,299931
2002-01-01,France,France,Maison Individuelle Pure,15140,14512,1906850,1821683
2002-02-01,France,France,Logement Collectif,10268,10490,731700,718744
2002-02-01,France,France,Logement en Résidence,1156,1245,51171,70567
2002-02-01,France,France,Maison Individuelle Groupée,3251,3276,305838,307723
2002-02-01,France,France,Maison Individuelle Pure,15020,14272,1909100,1796267
2002-03-01,France,France,Logement Collectif,10388,9404,731259,658974
2002-03-01,France,France,Logement en Résidence,880,900,37541,46126
2002-03-01,France,France,Maison Individuelle Groupée,3628,3356,342721,308889
2002-03-01,France,France,Maison Individuelle Pure,15705,14250,1995491,1811255
2002-04-01,France,France,Logement Collectif,12556,10435,869291,776568
2002-04-01,France,France,Logement en Résidence,1243,1057,58425,52687
2002-04-01,France,France,Maison Individuelle Groupée,3862,3173,376380,292763
2002-04-01,France,France,Maison Individuelle Pure,16123,14627,2056588,1872860
2002-05-01,France,France,Logement Collectif,10118,8880,739938,615785
2002-05-01,France,France,Logement en Résidence,644,1241,34698,72347
2002-05-01,France,France,Maison Individuelle Groupée,3533,3187,339835,306555
2002-05-01,France,France,Maison Individuelle Pure,15559,14031,1968033,1779874
2002-06-01,France,France,Logement Collectif,10914,9401,771280,662772
2002-06-01,France,France,Logement en Résidence,932,1295,56614,49698
2002-06-01,France,France,Maison Individuelle Groupée,3229,3159,307820,297562
2002-06-01,France,France,Maison Individuelle Pure,15255,14265,1943402,1812569
2002-07-01,France,France,Logement Collectif,11556,11128,823158,786969
2002-07-01,France,France,Logement en Résidence,1177,240,69272,11016
2002-07-01,France,France,Maison Individuelle Groupée,3568,3320,338703,326316
2002-07-01,France,France,Maison Individuelle Pure,15139,14736,1915981,1872025
2002-08-01,France,France,Logement Collectif,9141,10067,627782,747061
2002-08-01,France,France,Logement en Résidence,884,1035,49814,48329
2002-08-01,France,France,Maison Individuelle Groupée,3713,3101,362216,290310
2002-08-01,France,France,Maison Individuelle Pure,15317,14485,1948620,1829250
2002-09-01,France,France,Logement Collectif,12512,9158,858640,626131
2002-09-01,France,France,Logement en Résidence,1018,1176,47845,50115
2002-09-01,France,France,Maison Individuelle Groupée,3958,2871,371005,268328
2002-09-01,France,France,Maison Individuelle Pure,15591,14422,1988424,1850254
2002-10-01,France,France,Logement Collectif,12363,10411,858865,714389
2002-10-01,France,France,Logement en Résidence,1135,362,50504,19084
2002-10-01,France,France,Maison Individuelle Groupée,3990,3331,391282,322297
2002-10-01,France,France,Maison Individuelle Pure,15520,14510,1979872,1842852
2002-11-01,France,France,Logement Collectif,12240,9995,817060,698708
2002-11-01,France,France,Logement en Résidence,1455,825,65138,41250
2002-11-01,France,France,Maison Individuelle Groupée,3959,3245,377159,308000
2002-11-01,France,France,Maison Individuelle Pure,15515,14033,1963572,1781332
2002-12-01,France,France,Logement Collectif,11838,11265,832597,775789
2002-12-01,France,France,Logement en Résidence,956,1470,52547,74357
2002-12-01,France,France,Maison Individuelle Groupée,3844,3197,359156,290232
2002-12-01,France,France,Maison Individuelle Pure,15215,14329,1930307,1798173
2003-01-01,France,France,Logement Collectif,10969,9898,771174,709986
2003-01-01,France,France,Logement en Résidence,1362,664,63259,38602
2003-01-01,France,France,Maison Individuelle Groupée,3592,3261,338551,301753
2003-01-01,France,France,Maison Individuelle Pure,15344,13883,1953562,1746912
