Date,Region,Department,Type,Permis,MisesEnChantier,SurfacePermis,SurfaceChantiers
2008-05-01,France,France,Maison Individuelle Pure,14572,14593,1850420,1935175
2008-06-01,France,France,Logement Collectif,16525,13804,1071543,947375
2008-06-01,France,France,Logement en Résidence,3335,2130,189740,92881
2008-06-01,France,France,Maison Individuelle Groupée,5496,4132,492417,386134
2008-06-01,France,France,Maison Individuelle Pure,14141,14112,1781220,1848190
2008-07-01,France,France,Logement Collectif,15096,13005,1007950,873038
2008-07-01,France,France,Logement en Résidence,2793,570,138063,25563
2008-07-01,France,France,Maison Individuelle Groupée,5364,4198,499272,406238
2008-07-01,France,France,Maison Individuelle Pure,13817,13947,1739126,1833757
2008-08-01,France,France,Logement Collectif,14586,13533,981504,866596
2008-08-01,France,France,Logement en Résidence,2148,1857,121144,84636
2008-08-01,France,France,Maison Individuelle Groupée,5347,3788,470753,343456
2008-08-01,France,France,Maison Individuelle Pure,14227,13498,1784631,1800717
2008-09-01,France,France,Logement Collectif,15006,13282,995354,925988
2008-09-01,France,France,Logement en Résidence,2455,1284,143523,62326
2008-09-01,France,France,Maison Individuelle Groupée,5018,3998,454230,375317
2008-09-01,France,France,Maison Individuelle Pure,13258,13268,1674437,1754916
2008-10-01,France,France,Logement Collectif,17327,12610,1147413,809665
2008-10-01,France,France,Logement en Résidence,2138,1064,116644,53530
2008-10-01,France,France,Maison Individuelle Groupée,5643,3662,536902,341442
2008-10-01,France,France,Maison Individuelle Pure,13024,12955,1630760,1711451
2008-11-01,France,France,Logement Collectif,13538,8530,883307,572337
2008-11-01,France,France,Logement en Résidence,2901,815,146054,39128
2008-11-01,France,France,Maison Individuelle Groupée,5072,3517,472295,325921
2008-11-01,France,France,Maison Individuelle Pure,12147,12673,1504125,1654246
2008-12-01,France,France,Logement Collectif,12933,9677,863744,652011
2008-12-01,France,France,Logement en Résidence,1473,1524,90412,63540
2008-12-01,France,France,Maison Individuelle Groupée,5026,2428,459914,240368
2008-12-01,France,France,Maison Individuelle Pure,12077,11799,1494304,1558036
2009-01-01,France,France,Logement Collectif,14319,11483,974868,784047
2009-01-01,France,France,Logement en Résidence,2652,1302,155908,59766
2009-01-01,France,France,Maison Individuelle Groupée,4972,2999,462102,294985
2009-01-01,France,France,Maison Individuelle Pure,10722,11233,1326618,1494036
2009-02-01,France,France,Logement Collectif,11688,9812,831128,665451
2009-02-01,France,France,Logement en Résidence,2721,1314,165728,50584
2009-02-01,France,France,Maison Individuelle Groupée,4597,3338,416019,324637
2009-02-01,France,France,Maison Individuelle Pure,9738,11225,1209040,1569063
2009-03-01,France,France,Logement Collectif,12753,11173,844551,760556
2009-03-01,France,France,Logement en Résidence,2924,1104,138142,52445
2009-03-01,France,France,Maison Individuelle Groupée,4540,3177,402861,315354
2009-03-01,France,France,Maison Individuelle Pure,10363,10629,1267791,1539650
2009-04-01,France,France,Logement Collectif,12725,13336,852527,929760
2009-04-01,France,France,Logement en Résidence,2080,1752,111308,105026
2009-04-01,France,France,Maison Individuelle Groupée,4697,3453,418228,331285
2009-04-01,France,France,Maison Individuelle Pure,11013,10427,1348816,1494977
2009-05-01,France,France,Logement Collectif,10648,12359,730434,843412
2009-05-01,France,France,Logement en Résidence,2457,1141,149001,53499
2009-05-01,France,France,Maison Individuelle Groupée,4628,3525,406236,345674
2009-05-01,France,France,Maison Individuelle Pure,11087,10261,1354445,1472015
2009-06-01,France,France,Logement Collectif,10685,13218,726514,838820
2009-06-01,France,France,Logement en Résidence,2286,1703,124666,96734
2009-06-01,France,France,Maison Individuelle Groupée,5012,3855,448908,392123
2009-06-01,France,France,Maison Individuelle Pure,11246,10767,1369893,1533082
2009-07-01,France,France,Logement Collectif,13769,15862,939836,1082696
2009-07-01,France,France,Logement en Résidence,2702,1794,136900,84555
2009-07-01,France,France,Maison Individuelle Groupée,4970,3728,445722,366105
2009-07-01,France,France,Maison Individuelle Pure,11536,10829,1401606,1540703
2009-08-01,France,France,Logement Collectif,11750,16981,793676,1157080
2009-08-01,France,France,Logement en Résidence,2547,2041,136273,109704
2009-08-01,France,France,Maison Individuelle Groupée,4962,4054,441602,386648
2009-08-01,France,France,Maison Individuelle Pure,11554,10730,1404048,1503977
2009-09-01,France,France,Logement Collectif,13367,12429,910702,852804
2009-09-01,France,France,Logement en Résidence,2501,1083,117972,63451
2009-09-01,France,France,Maison Individuelle Groupée,5201,3821,448404,349834
2009-09-01,France,France,Maison Individuelle Pure,11800,10553,1433570,1391820
2009-10-01,France,France,Logement Collectif,15748,11624,1052103,788844
2009-10-01,France,France,Logement en Résidence,1539,1572,73809,80780
2009-10-01,France,France,Maison Individuelle Groupée,5442,4714,479912,419058
2009-10-01,France,France,Maison Individuelle Pure,12419,10470,1503174,1278589
2009-11-01,France,France,Logement Collectif,13397,13110,906158,870857
2009-11-01,France,France,Logement en Résidence,3060,501,162766,27438
2009-11-01,France,France,Maison Individuelle Groupée,5385,4276,477675,400981
2009-11-01,France,France,Maison Individuelle Pure,12440,10753,1501430,1302864
2009-12-01,France,France,Logement Collectif,13262,12900,862283,859762
2009-12-01,France,France,Logement en Résidence,3465,2615,179470,117167
2009-12-01,France,France,Maison Individuelle Groupée,5271,4397,458477,411815
2009-12-01,France,France,Maison Individuelle Pure,12573,11005,1514606,1340258
2010-01-01,France,France,Logement Collectif,13948,11845,903996,814950
2010-01-01,France,France,Logement en Résidence,3570,2154,133162,101546
2010-01-01,France,France,Maison Individuelle Groupée,5314,3940,460815,349024
2010-01-01,France,France,Maison Individuelle Pure,12995,10228,1576172,1240344
2010-02-01,France,France,Logement Collectif,17633,12764,1165712,888371
2010-02-01,France,France,Logement en Résidence,2207,1511,112356,64966
2010-02-01,France,France,Maison Individuelle Groupée,5345,3944,480312,358949
2010-02-01,France,France,Maison Individuelle Pure,12856,10794,1563643,1300858
2010-03-01,France,France,Logement Collectif,19621,13035,1286389,897764
2010-03-01,France,France,Logement en Résidence,2731,1395,131200,71570
2010-03-01,France,France,Maison Individuelle Groupée,5902,4213,524224,384155
2010-03-01,France,France,Maison Individuelle Pure,13545,11890,1642908,1445938
2010-04-01,France,France,Logement Collectif,17235,13552,1109058,912155
2010-04-01,France,France,Logement en Résidence,4715,1550,235230,73006
2010-04-01,France,France,Maison Individuelle Groupée,5220,4496,461502,383472
2010-04-01,France,France,Maison Individuelle Pure,13603,12218,1665298,1502356
2010-05-01,France,France,Logement Collectif,17615,14244,1153055,942204
2010-05-01,France,France,Logement en Résidence,1901,1898,84029,100608
2010-05-01,France,France,Maison Individuelle Groupée,5529,4881,494814,468746
2010-05-01,France,France,Maison Individuelle Pure,14107,12250,1713866,1504664
2010-06-01,France,France,Logement Collectif,17873,15361,1160869,1030186
2010-06-01,France,France,Logement en Résidence,2206,1449,104949,74333
2010-06-01,France,France,Maison Individuelle Groupée,5541,4590,490204,415779
2010-06-01,France,France,Maison Individuelle Pure,14771,12575,1781978,1536156
2010-07-01,France,France,Logement Collectif,16639,14653,1064867,972008
2010-07-01,France,France,Logement en Résidence,4504,2548,222088,115095
2010-07-01,France,France,Maison Individuelle Groupée,6852,4592,584913,424880
2010-07-01,France,France,Maison Individuelle Pure,15633,13317,1883254,1622006
2010-08-01,France,France,Logement Collectif,15911,18191,1017745,1182684
2010-08-01,France,France,Logement en Résidence,2593,3059,132802,130515
2010-08-01,France,France,Maison Individuelle Groupée,5099,5387,453030,482791
2010-08-01,France,France,Maison Individuelle Pure,14622,13107,1772971,1615526
2010-09-01,France,France,Logement Collectif,18769,16953,1222393,1148053
2010-09-01,France,France,Logement en Résidence,2484,2210,116989,109475
2010-09-01,France,France,Maison Individuelle Groupée,5853,4921,497856,441886
2010-09-01,France,France,Maison Individuelle Pure,13579,13383,1675243,1621714
2010-10-01,France,France,Logement Collectif,16729,18138,1105040,1165827
2010-10-01,France,France,Logement en Résidence,2201,2847,120717,116522
2010-10-01,France,France,Maison Individuelle Groupée,6327,4895,544006,420432
2010-10-01,France,France,Maison Individuelle Pure,13989,13129,1712766,1587590
2010-11-01,France,France,Logement Collectif,15584,16978,1027445,1109383
2010-11-01,France,France,Logement en Résidence,2222,2701,98264,127817
2010-11-01,France,France,Maison Individuelle Groupée,5336,5318,485919,463916
2010-11-01,France,France,Maison Individuelle Pure,14123,12850,1711370,1557840
2010-12-01,France,France,Logement Collectif,17209,15298,1133208,999094
2010-12-01,France,France,Logement en Résidence,2227,1790,112310,84524
2010-12-01,France,France,Maison Individuelle Groupée,5122,4177,453192,375705
2010-12-01,France,France,Maison Individuelle Pure,14855,14102,1802913,1738524
2011-01-01,France,France,Logement Collectif,19170,13500,1222846,914237
2011-01-01,France,France,Logement en Résidence,2267,2309,108131,106886
2011-01-01,France,France,Maison Individuelle Groupée,6770,4991,572464,428332
2011-01-01,France,France,Maison Individuelle Pure,14855,13618,1813612,1642453
2011-02-01,France,France,Logement Collectif,17945,13325,1188777,905090
2011-02-01,France,France,Logement en Résidence,1825,1491,92801,69402
2011-02-01,France,France,Maison Individuelle Groupée,5224,4866,466371,427250
2011-02-01,France,France,Maison Individuelle Pure,14314,13658,1748213,1642917
2011-03-01,France,France,Logement Collectif,17416,15079,1135196,1001064
2011-03-01,France,France,Logement en Résidence,2161,1441,105113,64374
2011-03-01,France,France,Maison Individuelle Groupée,5423,4747,493982,414808
2011-03-01,France,France,Maison Individuelle Pure,13865,13299,1722704,1620680
2011-04-01,France,France,Logement Collectif,17476,13739,1151197,933284
2011-04-01,France,France,Logement en Résidence,3391,2305,146007,118169
2011-04-01,France,France,Maison Individuelle Groupée,5432,4941,484651,416666
2011-04-01,France,France,Maison Individuelle Pure,14479,13365,1780150,1655779
2011-05-01,France,France,Logement Collectif,20677,15808,1352203,1070480
2011-05-01,France,France,Logement en Résidence,2756,2895,141000,142976
2011-05-01,France,France,Maison Individuelle Groupée,5943,4926,518827,426200
2011-05-01,France,France,Maison Individuelle Pure,15152,13397,1865559,1644576
2011-06-01,France,France,Logement Collectif,20642,12100,1327648,801697
2011-06-01,France,France,Logement en Résidence,2197,1576,114514,83042
2011-06-01,France,France,Maison Individuelle Groupée,6252,4371,552923,404790
2011-06-01,France,France,Maison Individuelle Pure,14471,12758,1782184,1577002
2011-07-01,France,France,Logement Collectif,22461,15181,1460010,1013302
2011-07-01,France,France,Logement en Résidence,2978,1501,151753,62110
2011-07-01,France,France,Maison Individuelle Groupée,6131,4784,564328,438043
2011-07-01,France,France,Maison Individuelle Pure,13854,12718,1714677,1554656
2011-08-01,France,France,Logement Collectif,25274,17310,1623219,1183518
2011-08-01,France,France,Logement en Résidence,2249,1810,108666,94709
2011-08-01,France,France,Maison Individuelle Groupée,5555,4409,497639,411268
2011-08-01,France,France,Maison Individuelle Pure,13263,13378,1639763,1678248
2011-09-01,France,France,Logement Collectif,24793,15533,1632773,1043258
2011-09-01,France,France,Logement en Résidence,2581,2685,124307,127555
2011-09-01,France,France,Maison Individuelle Groupée,6121,4362,541787,404230
2011-09-01,France,France,Maison Individuelle Pure,13186,13017,1644296,1618007
2011-10-01,France,France,Logement Collectif,19534,17919,1291205,1180124
2011-10-01,France,France,Logement en Résidence,3879,1483,178605,85793
2011-10-01,France,France,Maison Individuelle Groupée,5400,4010,487481,371544
2011-10-01,France,France,Maison Individuelle Pure,13171,11920,1620663,1464500
2011-11-01,France,France,Logement Collectif,22219,21560,1487382,1359892
2011-11-01,France,France,Logement en Résidence,1794,2818,83505,137098
2011-11-01,France,France,Maison Individuelle Groupée,6219,5489,558294,494908
2011-11-01,France,France,Maison Individuelle Pure,13378,12832,1637568,1571473
2011-12-01,France,France,Logement Collectif,23448,17069,1520360,1099731
2011-12-01,France,France,Logement en Résidence,2057,2987,105079,149312
2011-12-01,France,France,Maison Individuelle Groupée,6140,5013,543126,437308
2011-12-01,France,France,Maison Individuelle Pure,13460,12350,1654437,1495689
2012-01-01,France,France,Logement Collectif,19647,14388,1307157,978202
2012-01-01,France,France,Logement en Résidence,2017,1053,105206,58660
2012-01-01,France,France,Maison Individuelle Groupée,5978,3994,543573,352417
2012-01-01,France,France,Maison Individuelle Pure,13740,12580,1688549,1542666
2012-02-01,France,France,Logement Collectif,18147,16489,1213789,1098782
2012-02-01,France,France,Logement en Résidence,3487,1639,191164,87013
2012-02-01,France,France,Maison Individuelle Groupée,5276,4528,485836,409579
2012-02-01,France,France,Maison Individuelle Pure,13216,10734,1622940,1318707
2012-03-01,France,France,Logement Collectif,18959,16469,1349560,1075471
2012-03-01,France,France,Logement en Résidence,3857,2100,228311,107846
2012-03-01,France,France,Maison Individuelle Groupée,4366,4611,395454,425152
2012-03-01,France,France,Maison Individuelle Pure,12609,12800,1554586,1571747
2012-04-01,France,France,Logement Collectif,22380,11566,1492109,824944
2012-04-01,France,France,Logement en Résidence,2863,1001,122330,91115
2012-04-01,France,France,Maison Individuelle Groupée,5658,3427,520694,310483
2012-04-01,France,France,Maison Individuelle Pure,12325,11511,1533900,1414274
2012-05-01,France,France,Logement Collectif,22533,12513,1491090,864371
2012-05-01,France,France,Logement en Résidence,2410,954,109703,54722
2012-05-01,France,France,Maison Individuelle Groupée,5257,4073,478847,382512
2012-05-01,France,France,Maison Individuelle Pure,11316,11456,1412441,1420211
2012-06-01,France,France,Logement Collectif,20273,12868,1314544,847992
2012-06-01,France,France,Logement en Résidence,2467,3148,119262,125606
2012-06-01,France,France,Maison Individuelle Groupée,5338,3846,484717,359657
2012-06-01,France,France,Maison Individuelle Pure,12272,11474,1525218,1429604
2012-07-01,France,France,Logement Collectif,20501,14511,1336973,968817
2012-07-01,France,France,Logement en Résidence,2536,1460,130890,68476
2012-07-01,France,France,Maison Individuelle Groupée,5080,3737,465119,352776
2012-07-01,France,France,Maison Individuelle Pure,11712,11121,1462059,1384751
2012-08-01,France,France,Logement Collectif,24027,14736,1523444,998349
2012-08-01,France,France,Logement en Résidence,6305,1570,275474,83961
2012-08-01,France,France,Maison Individuelle Groupée,5830,4115,513244,373513
2012-08-01,France,France,Maison Individuelle Pure,11985,11152,1490220,1410617
2012-09-01,France,France,Logement Collectif,18631,11698,1219624,788670
2012-09-01,France,France,Logement en Résidence,2082,1875,104051,84534
2012-09-01,France,France,Maison Individuelle Groupée,5395,4051,487365,380945
2012-09-01,France,France,Maison Individuelle Pure,12194,11127,1539767,1392898
2012-10-01,France,France,Logement Collectif,17532,15749,1193044,1014284
2012-10-01,France,France,Logement en Résidence,3409,1575,177019,86280
2012-10-01,France,France,Maison Individuelle Groupée,4979,4294,450010,404561
2012-10-01,France,France,Maison Individuelle Pure,12450,11010,1550965,1362569
2012-11-01,France,France,Logement Collectif,16479,14259,1088976,950118
2012-11-01,France,France,Logement en Résidence,2870,1808,129919,83491
2012-11-01,France,France,Maison Individuelle Groupée,5007,3775,445504,320930
2012-11-01,France,France,Maison Individuelle Pure,12336,10606,1515467,1303332
2012-12-01,France,France,Logement Collectif,17649,16478,1154522,1053053
2012-12-01,France,France,Logement en Résidence,1041,4099,47736,162507
2012-12-01,France,France,Maison Individuelle Groupée,5903,4778,514043,438099
2012-12-01,France,France,Maison Individuelle Pure,14235,10782,1743325,1325842
2013-01-01,France,France,Logement Collectif,16091,15159,1100692,1007634
2013-01-01,France,France,Logement en Résidence,2013,1015,104408,59968
2013-01-01,France,France,Maison Individuelle Groupée,5913,3611,518538,308953
2013-01-01,France,France,Maison Individuelle Pure,17584,10696,2129656,1278883
2013-02-01,France,France,Logement Collectif,19218,16811,1279772,1057754
2013-02-01,France,France,Logement en Résidence,2175,1087,107741,56083
2013-02-01,France,France,Maison Individuelle Groupée,5806,3976,512936,347546
2013-02-01,France,France,Maison Individuelle Pure,20652,11733,2540109,1398447
2013-03-01,France,France,Logement Collectif,18789,16171,1238186,1084562
2013-03-01,France,France,Logement en Résidence,2269,1873,100072,79610
2013-03-01,France,France,Maison Individuelle Groupée,8706,3831,760357,341059
2013-03-01,France,France,Maison Individuelle Pure,10374,12004,1280554,1460173
2013-04-01,France,France,Logement Collectif,17334,11809,1146494,800919
2013-04-01,France,France,Logement en Résidence,2531,1965,121834,91750
2013-04-01,France,France,Maison Individuelle Groupée,5191,3959,468051,351648
2013-04-01,France,France,Maison Individuelle Pure,8787,12282,1056824,1507859
2013-05-01,France,France,Logement Collectif,16670,14071,1091632,922714
2013-05-01,France,France,Logement en Résidence,2453,1569,106334,66832
2013-05-01,France,France,Maison Individuelle Groupée,4585,3967,397397,358471
2013-05-01,France,France,Maison Individuelle Pure,8558,10965,1024632,1343324
2013-06-01,France,France,Logement Collectif,17062,14271,1096702,935436
2013-06-01,France,France,Logement en Résidence,2348,1810,111731,87893
2013-06-01,France,France,Maison Individuelle Groupée,4219,3969,375453,360556
2013-06-01,France,France,Maison Individuelle Pure,8942,10468,1060477,1292447
2013-07-01,France,France,Logement Collectif,17347,13685,1130485,889521
2013-07-01,France,France,Logement en Résidence,1573,1548,67088,61152
2013-07-01,France,France,Maison Individuelle Groupée,3699,3884,333582,348097
2013-07-01,France,France,Maison Individuelle Pure,8659,10145,1043079,1241763
2013-08-01,France,France,Logement Collectif,15300,13524,1020338,889894
2013-08-01,France,France,Logement en Résidence,1823,1750,79492,98454
2013-08-01,France,France,Maison Individuelle Groupée,3747,3735,332385,329778
2013-08-01,France,France,Maison Individuelle Pure,9165,9988,1105788,1237723
2013-09-01,France,France,Logement Collectif,14670,12819,972188,833257
2013-09-01,France,France,Logement en Résidence,1736,2558,73916,117354
2013-09-01,France,France,Maison Individuelle Groupée,3815,3945,335051,344296
2013-09-01,France,France,Maison Individuelle Pure,9606,9280,1160649,1136689
2013-10-01,France,France,Logement Collectif,18237,13748,1186392,912946
2013-10-01,France,France,Logement en Résidence,1616,1549,79794,74694
2013-10-01,France,France,Maison Individuelle Groupée,3853,3775,345054,330231
2013-10-01,France,France,Maison Individuelle Pure,9969,9285,1199185,1125602
2013-11-01,France,France,Logement Collectif,16359,13850,1061146,908085
2013-11-01,France,France,Logement en Résidence,2053,881,89316,42924
2013-11-01,France,France,Maison Individuelle Groupée,3799,3691,342799,320866
2013-11-01,France,France,Maison Individuelle Pure,9968,9086,1180436,1106272
2013-12-01,France,France,Logement Collectif,16162,13289,1036358,861964
2013-12-01,France,France,Logement en Résidence,1976,1282,104888,56247
2013-12-01,France,France,Maison Individuelle Groupée,3764,3721,337735,317168
2013-12-01,France,France,Maison Individuelle Pure,9926,9294,1185251,1102917
2014-01-01,France,France,Logement Collectif,16096,13886,1051987,923947
2014-01-01,France,France,Logement en Résidence,2372,2795,113755,129628
2014-01-01,France,France,Maison Individuelle Groupée,3789,3447,344758,300370
2014-01-01,France,France,Maison Individuelle Pure,9717,9060,1159404,1089496
2014-02-01,France,France,Logement Collectif,17256,12285,1114354,819018
2014-02-01,France,France,Logement en Résidence,2122,1415,98451,59306
2014-02-01,France,France,Maison Individuelle Groupée,3852,3408,336119,292299
2014-02-01,France,France,Maison Individuelle Pure,9970,9035,1196962,1068164
2014-03-01,France,France,Logement Collectif,18417,13645,1174834,893140
2014-03-01,France,France,Logement en Résidence,3811,2090,154828,96826
2014-03-01,France,France,Maison Individuelle Groupée,4059,3558,358718,308058
2014-03-01,France,France,Maison Individuelle Pure,9919,9273,1200928,1127956
2014-04-01,France,France,Logement Collectif,12812,14698,826863,956587
2014-04-01,France,France,Logement en Résidence,1747,2351,83100,98706
2014-04-01,France,France,Maison Individuelle Groupée,4013,3270,349684,294166
2014-04-01,France,France,Maison Individuelle Pure,9755,8979,1178968,1088786
2014-05-01,France,France,Logement Collectif,15963,14150,977785,928881
2014-05-01,France,France,Logement en Résidence,2454,1814,109000,73447
2014-05-01,France,France,Maison Individuelle Groupée,4021,3190,355838,292576
2014-05-01,France,France,Maison Individuelle Pure,9364,8447,1126343,1032162
2014-06-01,France,France,Logement Collectif,15874,11964,1036589,763662
2014-06-01,France,France,Logement en Résidence,2588,3007,110787,149989
2014-06-01,France,France,Maison Individuelle Groupée,3068,3512,279615,306827
2014-06-01,France,France,Maison Individuelle Pure,9611,9084,1157664,1103625
2014-07-01,France,France,Logement Collectif,16400,15507,1051364,1012515
2014-07-01,France,France,Logement en Résidence,3204,2098,121578,94333
2014-07-01,France,France,Maison Individuelle Groupée,3707,3192,334147,284491
2014-07-01,France,France,Maison Individuelle Pure,9565,9033,1158655,1097916
2014-08-01,France,France,Logement Collectif,13435,11731,863527,784904
2014-08-01,France,France,Logement en Résidence,3256,2665,168098,133442
2014-08-01,France,France,Maison Individuelle Groupée,3780,3068,325920,274319
2014-08-01,France,France,Maison Individuelle Pure,9355,8892,1119338,1080843
2014-09-01,France,France,Logement Collectif,14610,15377,937965,1015236
2014-09-01,France,France,Logement en Résidence,1997,1580,86714,78861
2014-09-01,France,France,Maison Individuelle Groupée,3606,2983,319257,261748
2014-09-01,France,France,Maison Individuelle Pure,9440,8908,1142297,1081638
2014-10-01,France,France,Logement Collectif,14906,13381,920950,869752
2014-10-01,France,France,Logement en Résidence,2735,2068,126053,89604
2014-10-01,France,France,Maison Individuelle Groupée,3420,3560,301906,323055
2014-10-01,France,France,Maison Individuelle Pure,9234,8645,1123391,1035264
2014-11-01,France,France,Logement Collectif,14374,13163,942315,874245
2014-11-01,France,France,Logement en Résidence,1211,2493,54762,115207
2014-11-01,France,France,Maison Individuelle Groupée,3594,3127,316191,279254
2014-11-01,France,France,Maison Individuelle Pure,8895,8058,1057436,966623
2014-12-01,France,France,Logement Collectif,15472,14552,970442,916256
2014-12-01,France,France,Logement en Résidence,2285,2101,102099,92578
2014-12-01,France,France,Maison Individuelle Groupée,3556,3029,316853,267467
2014-12-01,France,France,Maison Individuelle Pure,9155,8053,1094224,961149
2015-01-01,France,France,Logement Collectif,15783,13673,1015297,871661
2015-01-01,France,France,Logement en Résidence,2414,1805,100303,84780
2015-01-01,France,France,Maison Individuelle Groupée,4153,3059,371654,272997
2015-01-01,France,France,Maison Individuelle Pure,9316,8556,1115502,1025341
2015-02-01,France,France,Logement Collectif,14421,13265,928837,825479
2015-02-01,France,France,Logement en Résidence,2055,2150,85764,79183
2015-02-01,France,France,Maison Individuelle Groupée,3946,2902,352640,263449
2015-02-01,France,France,Maison Individuelle Pure,9236,8238,1116689,985700
2015-03-01,France,France,Logement Collectif,16315,14810,1035326,977941
2015-03-01,France,France,Logement en Résidence,2555,2221,106283,145381
2015-03-01,France,France,Maison Individuelle Groupée,3380,3158,292097,272123
2015-03-01,France,France,Maison Individuelle Pure,9359,8222,1128402,990857
2015-04-01,France,France,Logement Collectif,17417,13413,1117825,884942
2015-04-01,France,France,Logement en Résidence,1987,1109,85117,46445
2015-04-01,France,France,Maison Individuelle Groupée,3495,3085,308687,276967
2015-04-01,France,France,Maison Individuelle Pure,9858,8324,1185687,1006666
2015-05-01,France,France,Logement Collectif,15190,11958,965389,784581
2015-05-01,France,France,Logement en Résidence,1636,1631,78244,63831
2015-05-01,France,France,Maison Individuelle Groupée,3499,3093,299072,260568
2015-05-01,France,France,Maison Individuelle Pure,10049,8251,1208742,1004962
2015-06-01,France,France,Logement Collectif,16506,15526,1040021,998448
2015-06-01,France,France,Logement en Résidence,3953,1573,166044,63856
2015-06-01,France,France,Maison Individuelle Groupée,4233,3152,357388,278431
2015-06-01,France,France,Maison Individuelle Pure,10181,8691,1224446,1063798
2015-07-01,France,France,Logement Collectif,16101,14461,1016980,901433
2015-07-01,France,France,Logement en Résidence,2287,2388,106085,100885
2015-07-01,France,France,Maison Individuelle Groupée,4055,2470,346643,223474
2015-07-01,France,France,Maison Individuelle Pure,10273,8883,1244949,1063882
2015-08-01,France,France,Logement Collectif,17149,16260,1085749,1028750
2015-08-01,France,France,Logement en Résidence,2329,1787,90564,83171
2015-08-01,France,France,Maison Individuelle Groupée,3851,3856,340853,342665
2015-08-01,France,France,Maison Individuelle Pure,10444,8759,1245403,1066416
2015-09-01,France,France,Logement Collectif,15755,15867,985424,1031783
2015-09-01,France,France,Logement en Résidence,2443,2434,99981,120148
2015-09-01,France,France,Maison Individuelle Groupée,4019,3319,346131,288919
2015-09-01,France,France,Maison Individuelle Pure,9833,9046,1192779,1103942
2015-10-01,France,France,Logement Collectif,18609,14744,1161356,947201
2015-10-01,France,France,Logement en Résidence,1409,2121,56115,89095
2015-10-01,France,France,Maison Individuelle Groupée,4066,2597,346782,224357
2015-10-01,France,France,Maison Individuelle Pure,10202,9178,1214609,1097829
2015-11-01,France,France,Logement Collectif,19690,15383,1251694,967705
2015-11-01,France,France,Logement en Résidence,3082,1850,141695,82750
2015-11-01,France,France,Maison Individuelle Groupée,3833,3376,333233,280438
2015-11-01,France,France,Maison Individuelle Pure,10290,9042,1217370,1075765
2015-12-01,France,France,Logement Collectif,18895,14844,1188262,942254
2015-12-01,France,France,Logement en Résidence,3120,3000,149114,109011
2015-12-01,France,France,Maison Individuelle Groupée,3776,3419,327603,289121
2015-12-01,France,France,Maison Individuelle Pure,10028,9219,1196987,1085888
2016-01-01,France,France,Logement Collectif,17958,12748,1162680,825494
2016-01-01,France,France,Logement en Résidence,2643,2306,112942,117928
2016-01-01,France,France,Maison Individuelle Groupée,3748,3697,328792,310247
2016-01-01,France,France,Maison Individuelle Pure,9983,9054,1189546,1073818
2016-02-01,France,France,Logement Collectif,20633,16929,1305514,1061273
2016-02-01,France,France,Logement en Résidence,3599,2824,147060,109760
2016-02-01,France,France,Maison Individuelle Groupée,3576,3385,306674,302102
2016-02-01,France,France,Maison Individuelle Pure,10022,8919,1207996,1064280
2016-03-01,France,France,Logement Collectif,16800,12611,1050299,799641
2016-03-01,France,France,Logement en Résidence,2578,1636,114669,73767
2016-03-01,France,France,Maison Individuelle Groupée,3865,2873,327328,250766
2016-03-01,France,France,Maison Individuelle Pure,10440,8741,1253176,1044949
2016-04-01,France,France,Logement Collectif,19698,15333,1195950,958904
2016-04-01,France,France,Logement en Résidence,3764,2448,201120,100780
2016-04-01,France,France,Maison Individuelle Groupée,4235,3138,359182,269956
2016-04-01,France,France,Maison Individuelle Pure,11079,8899,1326362,1066766
2016-05-01,France,France,Logement Collectif,19286,18414,1219117,1178888
2016-05-01,France,France,Logement en Résidence,3100,2858,148005,119770
2016-05-01,France,France,Maison Individuelle Groupée,4279,3828,381712,324323
2016-05-01,France,France,Maison Individuelle Pure,11083,8938,1325368,1087946
2016-06-01,France,France,Logement Collectif,18693,15867,1186917,1017235
2016-06-01,France,France,Logement en Résidence,2641,1915,319432,83289
2016-06-01,France,France,Maison Individuelle Groupée,4638,2967,390602,259273
2016-06-01,France,France,Maison Individuelle Pure,11152,9415,1337695,1131391
2016-07-01,France,France,Logement Collectif,20049,14560,1240327,884646
2016-07-01,France,France,Logement en Résidence,3071,2212,148528,94319
2016-07-01,France,France,Maison Individuelle Groupée,3502,3328,312619,287678
2016-07-01,France,France,Maison Individuelle Pure,11301,9367,1345148,1121328
2016-08-01,France,France,Logement Collectif,20283,15489,1273321,957179
2016-08-01,France,France,Logement en Résidence,2662,2471,139378,101108
2016-08-01,France,France,Maison Individuelle Groupée,4192,3298,360565,273042
2016-08-01,France,France,Maison Individuelle Pure,11581,10301,1368570,1239604
2016-09-01,France,France,Logement Collectif,22983,16483,1453912,1043227
2016-09-01,France,France,Logement en Résidence,2785,2478,133848,115491
2016-09-01,France,France,Maison Individuelle Groupée,4342,3010,386457,265952
2016-09-01,France,France,Maison Individuelle Pure,11517,9968,1367344,1197120
2016-10-01,France,France,Logement Collectif,20435,16444,1269828,1060660
2016-10-01,France,France,Logement en Résidence,2411,3109,100996,142926
2016-10-01,France,France,Maison Individuelle Groupée,4339,3190,378568,275155
2016-10-01,France,France,Maison Individuelle Pure,11519,9832,1369382,1170370
2016-11-01,France,France,Logement Collectif,23313,15732,1492599,981801
2016-11-01,France,France,Logement en Résidence,2685,2767,136328,128213
