Department,Millesime,Population,Pop65Plus,ResidencesPrincipales,RPProprietaires,RPMaisons,Logements,LogementsVacants,PopUnAnPlus,ArriveesHorsDep,Actifs1564,Chomeurs1564,RPProprietaires65Plus,RPTotalAge,NiveauVieMedian,TauxPauvrete,PartProprietaires,PartMaisons,TauxVacance,Part65Plus,TauxArrivee,TauxChomage,PartRP65Plus,SoldeMigratoire
51,2023,563076,118692,265839,139219,149792,304458,27779,557402,15894,263354,30344,53066,265839,25700,16,52.3697,56.3469,9.12408,21.0792,2.85144,11.5221,19.9617,-0.263786
52,2012,182136,38148,82036,52625,60967,100421,11000,180222,5317,81187,10707,,,,,64.1487,74.3174,10.9539,20.9448,2.95025,13.1881,,-0.53712
52,2017,175640,42186,81313,52770,61108,100650,11745,173973,4544,76855,10297,,,,,64.8974,75.1516,11.6692,24.0184,2.6119,13.398,,-0.5665
52,2023,168331,45002,80915,52884,61480,100360,11750,166910,4642,73205,7959,22953,80915,23980,16,65.3575,75.981,11.7079,26.7342,2.78114,10.8722,28.3668,-0.242447
53,2012,307453,58473,131356,86454,105906,151650,12391,303409,9173,141347,12070,,,,,65.8166,80.6252,8.17079,19.0185,3.02331,8.53927,,0.14296
53,2017,307445,65928,134164,89257,108469,156662,14183,304059,8899,138728,12876,,,,,66.5283,80.8481,9.05325,21.4438,2.92673,9.28147,,-0.190533
53,2023,305468,71648,138699,92914,112186,162042,14977,302409,8587,139923,10514,35563,138699,25140,12,66.9897,80.8845,9.24267,23.4552,2.83953,7.51413,25.6404,-0.0448319
54,2012,733266,123415,324035,186313,180398,360503,31200,724623,23996,339627,45136,,,,,57.4978,55.6724,8.65457,16.8309,3.31152,13.2899,,-0.0654563
54,2017,733481,138109,333167,191434,184686,375755,35346,725698,23783,334105,46664,,,,,57.4589,55.4335,9.40666,18.8293,3.27726,13.9669,,-0.209528
54,2023,732236,151452,344462,198663,189374,389086,35305,725419,21728,339061,37659,72650,344462,25910,16,57.6734,54.9767,9.07383,20.6835,2.99523,11.1069,21.0909,-0.0124293
55,2012,192800,36075,83316,55550,63887,98104,10226,190491,5635,87824,11605,,,,,66.6739,76.6803,10.4236,18.7111,2.95815,13.2139,,-0.220971
55,2017,187187,40416,83575,56058,64713,99736,11630,185344,4846,83861,11446,,,,,67.0751,77.431,11.6608,21.5912,2.6146,13.6488,,-0.539938
55,2023,180290,44933,83933,56821,65175,100335,11431,178782,4581,80783,8943,22910,83933,24740,15,67.698,77.6512,11.3928,24.9226,2.56234,11.0704,27.2956,-0.279667
56,2012,732372,149895,329155,222517,245631,438653,30048,724063,26389,323673,36820,,,,,67.6025,74.6247,6.85006,20.4671,3.64457,11.3757,,0.768669
56,2017,750863,176119,346231,233619,257987,464186,34542,743763,25545,326698,41477,,,,,67.4749,74.513,7.44141,23.4555,3.43456,12.6958,,0.57621
56,2023,783390,207954,373800,255282,277635,491517,31558,776962,26574,342475,32083,109554,373800,26250,11,68.2937,74.2737,6.42053,26.5454,3.42024,9.36798,29.3082,1.00973
57,2012,1046468,175392,444111,265527,251226,493278,40289,1033992,22594,493019,66067,,,,,59.7884,56.5683,8.16761,16.7604,2.18512,13.4005,,-0.0779194
57,2017,1043522,198477,457123,273545,259480,514328,46665,1032380,20412,485387,66979,,,,,59.8406,56.7637,9.073,19.0199,1.97718,13.7991,,-0.217742
57,2023,1051309,221557,478218,286838,267031,539299,48424,1041330,22140,493742,54008,101538,478218,26030,17,59.9806,55.8388,8.97906,21.0744,2.12613,10.9385,21.2326,0.200762
58,2012,216786,54818,102788,68639,77795,140730,16619,214747,6695,89472,11929,,,,,66.7773,75.6849,11.8091,25.2867,3.11762,13.3327,,-0.0874991
58,2017,207182,59376,100961,68201,77734,141642,19482,205519,6304,83441,11420,,,,,67.5518,76.9941,13.7544,28.6589,3.06736,13.6863,,-0.354543
58,2023,201417,62589,101408,69004,78618,141787,19075,199906,6425,80757,9131,32525,101408,24010,17,68.0459,77.5264,13.4533,31.0743,3.21401,11.3068,32.0734,0.294508
59,2012,2587128,373656,1067041,590583,732721,1155039,75007,2550073,50396,1169861,196685,,,,,55.3477,68.6685,6.49389,14.4429,1.97626,16.8127,,-0.287959
59,2017,2604361,426260,1102629,603415,746411,1214497,93711,2571198,49507,1174466,207172,,,,,54.7251,67.6938,7.71603,16.3672,1.92544,17.6397,,-0.371996
59,2023,2615635,474513,1157844,626597,762702,1271470,89917,2586613,49339,1205573,174857,212901,1.15784e+06,23810,21,54.1176,65.8726,7.07189,18.1414,1.90748,14.5041,18.3877,-0.191173
60,2012,810300,113448,322432,200067,218459,354216,22852,799196,26429,390431,50257,,,,,62.0494,67.7535,6.45143,14.0007,3.30695,12.8722,,-0.147271
60,2017,824503,134395,336832,207255,227493,372778,26665,814179,24633,389704,53617,,,,,61.5307,67.539,7.15305,16.3001,3.0255,13.7584,,-0.17322
60,2023,829899,151747,350520,215209,235537,387179,27037,820639,23346,392304,45908,71360,350520,25970,14,61.3971,67.1965,6.98308,18.285,2.84486,11.7021,20.3583,-0.18027
61,2012,290015,63165,128463,81578,102376,161737,16191,286797,9585,125484,15611,,,,,63.5031,79.693,10.0107,21.7799,3.34209,12.4406,,-0.191177
61,2017,283372,70781,129187,82948,103482,164926,18425,280754,9084,120384,15786,,,,,64.2077,80.1025,11.1717,24.9781,3.23557,13.113,,-0.2704
61,2023,275201,76302,130839,84073,104571,165473,17071,272848,9517,117111,12760,36908,130839,24110,16,64.2568,79.9234,10.3165,27.7259,3.48802,10.8956,28.2087,-0.0469348
62,2012,1463628,230310,597628,342852,480857,686348,44411,1443793,25002,641878,107479,,,,,57.3688,80.4609,6.47062,15.7356,1.73169,16.7445,,-0.216334
62,2017,1468018,264433,613690,353535,493171,713245,54612,1450603,23579,642112,110429,,,,,57.6081,80.3616,7.65684,18.0129,1.62546,17.1978,,-0.204574
62,2023,1457905,297262,634567,370665,507549,735442,51476,1442877,23590,652087,88593,134473,634567,23260,19,58.4123,79.9835,6.99933,20.3897,1.63493,13.5861,21.1913,-0.122921
63,2012,638092,120585,293631,180863,184688,368303,37810,630968,22039,296831,33387,,,,,61.5953,62.898,10.266,18.8977,3.49289,11.2478,,0.251564
63,2017,653742,138390,306690,188321,192509,386425,40194,647096,21012,299578,36337,,,,,61.4043,62.7699,10.4015,21.1689,3.24712,12.1294,,0.405898
63,2023,664453,152456,320881,198998,201670,405109,42711,658447,19800,306641,30337,77764,320881,26040,15,62.0161,62.8488,10.5431,22.9446,3.00708,9.89333,24.2345,0.340348
64,2012,660871,140840,299881,183854,168217,377782,27833,654174,23747,301123,32684,,,,,61.309,56.0946,7.36748,21.3113,3.63007,10.854,,0.535011
64,2017,677309,158596,316658,193698,176325,404979,33329,670893,23536,306729,36838,,,,,61.1695,55.6831,8.22981,23.4156,3.50816,12.01,,0.581082
64,2023,706564,179091,343946,208241,186541,430789,29929,700434,23303,324101,31816,86032,343946,26300,13,60.5447,54.2355,6.94748,25.3467,3.32694,9.81669,25.0132,0.953578
65,2012,228854,54669,105139,68667,71601,154677,13827,226701,8786,99222,12541,,,,,65.3107,68.1013,8.93927,23.8882,3.87559,12.6393,,0.194056
65,2017,228530,60287,108420,70597,74750,161703,15674,226629,7626,97907,13402,,,,,65.1144,68.9448,9.69308,26.3803,3.36497,13.6885,,0.287432
65,2023,231349,65771,113916,73506,77828,167493,14381,229589,7753,98693,10956,32757,113916,24320,17,64.5265,68.3205,8.58603,28.4293,3.3769,11.1011,28.7554,0.71938
66,2012,457793,104565,208456,125872,132469,328857,26008,452939,15674,186991,33703,,,,,60.383,63.5477,7.9086,22.8411,3.46051,18.0239,,0.968028
66,2017,474452,121086,221977,132465,140229,349914,28593,469835,15043,192480,37622,,,,,59.6751,63.1728,8.17144,25.5212,3.20176,19.5459,,0.843351
66,2023,496855,136677,240478,144741,151594,368673,27675,492670,14998,201985,33278,67238,240478,23080,22,60.1889,63.0386,7.50665,27.5084,3.04423,16.4755,27.9601,1.14448
67,2012,1104667,173416,470723,267441,225775,520432,37292,1091527,27512,544143,63802,,,,,56.8149,47.9635,7.16559,15.6985,2.52051,11.7252,,0.00774308
67,2017,1125559,200048,493333,278039,233312,554075,43617,1113271,27175,548334,66773,,,,,56.3593,47.293,7.87204,17.7732,2.441,12.1774,,0.0177972
67,2023,1163810,229202,527218,293914,240159,593877,46781,1152726,26383,569668,57746,103852,527218,26890,15,55.7481,45.5521,7.87722,19.6941,2.28875,10.1368,19.6981,0.404865
68,2012,755202,126301,319417,193745,171708,360197,31294,745984,15685,365065,48866,,,,,60.6558,53.7567,8.68802,16.7241,2.10259,13.3856,,0.0144395
68,2017,764030,144839,331111,200194,177901,376960,34053,755622,15763,363105,49844,,,,,60.4613,53.7285,9.03358,18.9572,2.0861,13.7272,,-0.0557467
68,2023,770738,164801,346437,209781,185593,396502,35568,763390,14985,366929,41584,75887,346437,27620,14,60.5539,53.5719,8.97045,21.3822,1.96295,11.333,21.905,0.101545
69,2012,1762866,273680,767871,374200,230622,848950,61942,1737180,72143,848600,103794,,,,,48.7321,30.034,7.29631,15.5247,4.15288,12.2312,,0.361272
69,2017,1843319,308439,818114,394592,240941,914980,68435,1818656,70829,878375,110528,,,,,48.2319,29.4508,7.4794,16.7328,3.89458,12.5832,,0.125035
69,2023,1914667,335804,875314,423983,252008,988290,77501,1892937,65852,935322,98924,147349,875314,27500,16,48.4378,28.7906,7.84193,17.5385,3.47883,10.5765,16.8338,0.0641958
70,2012,239750,45718,103843,70899,79316,123352,11454,236892,7394,109433,13349,,,,,68.2752,76.3807,9.28562,19.069,3.12125,12.1983,,0.0762236
70,2017,236659,52528,106074,72946,81678,127615,13592,234293,6333,105935,13380,,,,,68.769,77.001,10.6508,22.1956,2.70303,12.6304,,-0.279041
70,2023,233185,58150,108986,75044,83832,130308,13156,231185,6524,104930,10372,29794,108986,24750,14,68.8566,76.92,10.0961,24.9373,2.82198,9.88469,27.3375,0.00133807
71,2012,555039,123935,250420,157894,171889,302146,28685,549199,15477,246735,29382,,,,,63.0517,68.6403,9.49375,22.3291,2.8181,11.9083,,0.136742
71,2017,553595,138670,255333,163374,177281,310391,31829,548202,14658,241671,29938,,,,,63.9847,69.4313,10.2545,25.049,2.67383,12.3879,,0.0971463
71,2023,550310,150479,262568,169418,182317,316746,30827,545745,15474,240593,24149,71725,262568,24970,14,64.5235,69.4361,9.7324,27.3444,2.83539,10.0373,27.3167,0.275472
72,2012,567382,107452,246375,158434,185845,282330,22599,560312,15905,259706,31381,,,,,64.306,75.4318,8.00446,18.9382,2.8386,12.0833,,0.121915
72,2017,566506,120901,250786,161809,191156,291039,26390,560388,14227,254598,32905,,,,,64.5207,76.2228,9.06751,21.3415,2.53878,12.9243,,-0.205576
72,2023,566733,132780,259592,168072,197096,299610,25704,561120,14067,256414,26657,66120,259592,24990,14,64.7447,75.9253,8.57915,23.429,2.50695,10.3961,25.4707,0.0574869
73,2012,421105,73875,186241,110915,91226,328720,18545,416188,15987,204912,17817,,,,,59.5546,48.9828,5.64158,17.5431,3.84129,8.69495,,0.444992
73,2017,431174,86332,195845,117648,95696,345226,21008,426641,15253,206525,19475,,,,,60.072,48.8631,6.08529,20.0225,3.57514,9.42985,,0.193871
73,2023,448226,98436,211123,127289,101637,367080,19917,444007,15521,217690,16229,48787,211123,27910,11,60.2914,48.1411,5.42579,21.9612,3.49567,7.4551,23.1083,0.587582
74,2012,756501,112179,326436,197605,144195,467419,27542,746167,29958,390813,36613,,,,,60.5341,44.1725,5.89236,14.8287,4.01492,9.36842,,0.884184
74,2017,807360,133418,355359,212459,154197,508229,30689,797124,28081,415329,41479,,,,,59.7871,43.3919,6.03842,16.5252,3.52279,9.98702,,0.732478
74,2023,861158,153334,391689,234945,165234,557563,35682,851494,28957,448239,37646,76402,391689,32180,10,59.9825,42.185,6.39964,17.8056,3.40073,8.39864,19.5058,0.649917
75,2012,2240621,335248,1159105,384099,10511,1357081,100699,2214158,137200,1218088,142559,,,,,33.1376,0.90682,7.42026,14.9623,6.19649,11.7035,,-0.179414
75,2017,2187526,365425,1141623,377451,10074,1382779,117082,2163783,127825,1185939,140723,,,,,33.0627,0.882428,8.46715,16.7049,5.90748,11.866,,-1.13828
75,2023,2103778,372009,1124522,373635,9605,1402024,139075,2084229,113596,1152923,120784,143674,1.12452e+06,33650,17,33.2261,0.854141,9.91959,17.6829,5.45026,10.4763,12.7765,-1.17338
76,2012,1253931,212045,547088,290131,311998,609971,40918,1237939,27291,578273,82339,,,,,53.0319,57.0289,6.70819,16.9104,2.20455,14.2388,,-0.167217
76,2017,1254378,240824,563675,298094,322766,640334,52149,1239933,27632,568943,86842,,,,,52.884,57.261,8.14403,19.1987,2.22851,15.2637,,-0.286013
76,2023,1260964,267901,586580,310761,332293,667137,51378,1247959,26276,572134,71560,116407,586580,24940,17,52.9785,56.6492,7.70127,21.2457,2.10552,12.5076,19.845,-0.0037203
77,2012,1353946,163373,521048,326660,310153,574403,36287,1333897,50751,685099,73864,,,,,62.6929,59.5248,6.31734,12.0664,3.80472,10.7815,,0.298157
77,2017,1403997,197475,552572,341548,321779,612076,41625,1385229,47473,694950,80049,,,,,61.8106,58.233,6.80063,14.0652,3.42709,11.5187,,-0.0410947
77,2023,1468108,227820,597056,364813,334530,661580,43086,1450102,47890,731275,76926,107045,597056,27480,14,61.102,56.0299,6.51259,15.5179,3.30253,10.5194,17.9288,0.150214
78,2012,1412356,199879,557617,332605,244090,603858,33220,1392344,56071,697625,66782,,,,,59.6476,43.7738,5.50129,14.1522,4.02709,9.57276,,-0.537937
78,2017,1438266,232280,580983,342136,249961,637200,39953,1419405,55147,697506,72530,,,,,58.8892,43.0238,6.27009,16.15,3.88522,10.3985,,-0.393867
78,2023,1485086,250762,620141,360498,254923,678260,40022,1467362,52837,729433,70203,119300,620141,31520,12,58.1316,41.1073,5.90069,16.8854,3.60082,9.62432,19.2376,-0.0518448
79,2012,371583,76553,162840,111823,140617,187058,15201,367355,11977,171707,18195,,,,,68.6705,86.3529,8.12636,20.6019,3.26033,10.5965,,0.35956
79,2017,374351,85056,166837,115594,144417,193971,17828,370684,11642,170798,19583,,,,,69.2856,86.5617,9.19106,22.7209,3.14068,11.4656,,0.168361
79,2023,375229,93081,173157,120735,150045,199352,16814,372094,11610,172628,15019,46698,173157,25080,13,69.7257,86.6526,8.43433,24.8065,3.12018,8.70021,26.9686,0.300965
80,2012,571154,96562,242416,148849,184260,286731,21659,564024,13946,260155,39581,,,,,61.4023,76.0098,7.55377,16.9065,2.47259,15.2144,,-0.0322313
80,2017,572443,109384,249773,151074,187858,299211,24907,566268,13128,255687,40634,,,,,60.4845,75.2115,8.32423,19.1083,2.31834,15.8921,,-0.108097
80,2023,565413,122014,259351,154881,191838,311038,25232,559933,12867,256951,34098,60494,259351,24200,17,59.7187,73.9685,8.11219,21.5796,2.29795,13.2702,23.3251,-0.135588
81,2012,378947,85629,167507,112317,132603,200806,18543,374866,13585,165217,21553,,,,,67.0521,79.1627,9.23429,22.5966,3.62396,13.0453,,0.520763
81,2017,387890,95427,176070,117718,139498,211038,19234,384318,13226,167590,23496,,,,,66.8586,79.2287,9.114,24.6016,3.44142,14.0199,,0.561556
81,2023,397352,106069,186515,124793,147177,222220,19184,393997,13342,172871,19849,52732,186515,24420,16,66.9078,78.9089,8.63289,26.694,3.38632,11.482,28.2723,0.745185
82,2012,246971,49447,104470,69472,82748,123725,11890,243976,10541,110671,15065,,,,,66.4995,79.2074,9.61002,20.0214,4.32051,13.6124,,1.08835
82,2017,258349,55887,110784,73542,87532,131300,12908,255596,9170,114266,16353,,,,,66.3832,79.0114,9.83092,21.6324,3.58769,14.3113,,0.802118
82,2023,265817,62411,117641,78904,93496,138093,12849,263288,9026,119004,13466,30670,117641,24350,17,67.0719,79.4757,9.3046,23.4789,3.42819,11.3156,26.0708,0.574223
83,2012,1021669,236610,458217,270703,230293,676133,42665,1011030,35527,436880,62575,,,,,59.0775,50.2585,6.31015,23.1592,3.51394,14.3232,,0.460774
83,2017,1058740,270077,487268,285123,241523,714503,44805,1048740,33153,450193,66526,,,,,58.5146,49.5668,6.27079,25.5093,3.16122,14.7772,,0.740768
83,2023,1119307,305642,533930,313454,258319,759434,41844,1109583,33845,481236,56204,143515,533930,25940,17,58.7069,48.3807,5.50989,27.3064,3.05025,11.6791,26.879,1.16667
84,2012,546314,105586,236594,131698,153222,284746,27167,539488,20971,244113,38583,,,,,55.6641,64.7616,9.54078,19.327,3.8872,15.8054,,-0.00910542
84,2017,559479,119992,247451,136803,159460,301947,30204,553035,19251,247813,41796,,,,,55.2849,64.441,10.0031,21.4471,3.48097,16.8659,,0.162617
84,2023,572056,135551,263428,147892,168692,321633,29739,566662,18652,253835,34164,61338,263428,23840,21,56.1413,64.0372,9.24625,23.6954,3.29156,13.4591,23.2845,0.290747
85,2012,648901,132418,279239,201577,244609,397448,20273,641031,21655,295544,31332,,,,,72.188,87.5984,5.10079,20.4065,3.37815,10.6015,,1.13781
85,2017,675247,158480,297468,214454,259832,421680,22254,668690,20930,302366,33438,,,,,72.0931,87.3479,5.27746,23.4699,3.13,11.0588,,0.75876
85,2023,713609,188868,326386,235895,283340,453701,22577,707771,21833,320744,26438,96400,326386,25850,9,72.2749,86.8113,4.97618,26.4666,3.08475,8.24271,29.5356,1.18833
86,2012,430018,82042,196305,120532,145488,230585,21665,424950,18140,197320,23435,,,,,61.4004,74.1132,9.39567,19.0787,4.26874,11.8766,,0.210196
86,2017,436876,93233,202864,125073,150795,240200,23435,432445,15755,195093,24806,,,,,61.6536,74.3331,9.75645,21.3408,3.64324,12.715,,0.211293
86,2023,438897,103121,209899,129954,156606,248104,23301,435028,14653,196420,20358,52284,209899,24940,16,61.9126,74.6102,9.39163,23.4955,3.36829,10.3645,24.9091,0.188001
87,2012,375869,80624,177892,109767,114777,213992,19804,371638,12814,167108,20207,,,,,61.7043,64.5206,9.25455,21.45,3.44798,12.0922,,0.277013
87,2017,374426,90216,181373,112416,117918,219980,21567,370867,10785,162270,20817,,,,,61.9806,65.0141,9.80407,24.0945,2.90805,12.8286,,0.0310214
87,2023,373167,97469,186725,116726,122176,225631,21667,370077,10769,163008,17623,49711,186725,24740,17,62.5123,65.431,9.60285,26.1194,2.90993,10.8111,26.6226,0.202399
88,2012,377282,74435,167392,106366,110679,207617,21061,373137,8405,170684,25422,,,,,63.5431,66.1196,10.1442,19.7293,2.25252,14.8942,,-0.202995
88,2017,367673,85439,168767,108312,113144,213629,24231,364276,7965,163663,25150,,,,,64.1784,67.0415,11.3426,23.2378,2.18653,15.3669,,-0.359678
88,2023,357248,93430,171490,110307,115107,216751,22303,354444,7896,158832,19076,45402,171490,24320,16,64.3227,67.1217,10.2897,26.1527,2.22771,12.0102,26.475,-0.075656
89,2012,341902,70944,149739,101184,114880,191288,19090,337870,10338,151562,19754,,,,,67.5736,76.7202,9.97972,20.7498,3.05976,13.0336,,0.0458675
89,2017,338291,79590,152596,103069,117606,196697,22692,334743,9143,148073,20805,,,,,67.5437,77.0702,11.5365,23.5271,2.73135,14.0505,,-0.0960509
89,2023,332267,86415,156368,105229,119846,200574,23190,329295,9571,145051,16715,43677,156368,24590,16,67.2957,76.6436,11.5618,26.0077,2.90651,11.5235,27.9322,0.0783842
90,2012,143940,23914,63894,34265,30566,69745,5004,142121,6545,67223,10019,,,,,53.6279,47.8386,7.17471,16.6139,4.60523,14.9041,,-0.134228
90,2017,142622,27352,64473,35848,31684,72211,6696,140960,6142,65616,10161,,,,,55.6016,49.1431,9.27283,19.178,4.35726,15.4856,,-0.447131
90,2023,140255,29565,65411,36566,32535,74317,7365,138960,5461,64562,8460,13276,65411,25910,17,55.9019,49.7393,9.91025,21.0795,3.92991,13.1037,20.2963,-0.29355
91,2012,1237507,164975,481745,291112,237610,517656,29006,1219181,46240,613923,63815,,,,,60.4287,49.3228,5.60334,13.3312,3.79271,10.3946,,-0.147705
91,2017,1296130,191001,514470,303429,244051,558684,35354,1277914,44975,632621,70939,,,,,58.9789,47.4374,6.32809,14.7363,3.51941,11.2135,,0.0502623
91,2023,1338485,208553,549736,315092,250145,600822,39490,1321253,43802,657417,66288,98170,549736,27940,15,57.317,45.5028,6.57266,15.5813,3.31519,10.0831,17.8577,-0.21226
92,2012,1586434,218758,697317,295893,87212,766245,47817,1561886,85315,826144,87273,,,,,42.4331,12.5068,6.24043,13.7893,5.46231,10.5639,,-0.259801
92,2017,1609306,242649,715018,304884,84836,796181,53022,1586681,82740,832097,91068,,,,,42.64,11.8649,6.65954,15.0779,5.21466,10.9444,,-0.627432
92,2023,1654712,257310,754911,324591,84403,846710,57829,1633839,81751,875956,87323,100816,754911,33790,14,42.9973,11.1805,6.82985,15.5501,5.00361,9.96888,13.3547,-0.23476
93,2012,1538726,169574,588188,238523,151832,627186,34098,1511418,56907,748598,136342,,,,,40.5522,25.8135,5.43666,11.0204,3.76514,18.213,,-0.578684
93,2017,1623111,189360,625820,243905,152337,671680,39138,1595797,57795,779308,143588,,,,,38.9737,24.342,5.82688,11.6665,3.6217,18.4251,,-0.23383
93,2023,1704316,212455,673946,253015,151805,728182,43944,1680060,53002,818910,126535,69075,673946,21250,30,37.5423,22.5248,6.03476,12.4657,3.15477,15.4516,10.2493,-0.276239
94,2012,1341831,181984,561539,257616,130647,600315,31091,1321446,60170,679101,83440,,,,,45.8768,23.2659,5.17911,13.5624,4.55335,12.2868,,-0.19446
94,2017,1387926,204025,586755,263982,130557,633207,35685,1367984,58202,692668,88458,,,,,44.9902,22.2507,5.6356,14.7,4.25458,12.7706,,-0.261389
94,2023,1426929,220233,622567,272028,130487,676858,39944,1408436,56040,717451,82697,87197,622567,27250,18,43.6946,20.9595,5.90139,15.4341,3.97888,11.5265,14.006,-0.301949
95,2012,1187081,140023,445487,256262,208552,475298,24903,1168365,40820,588884,75766,,,,,57.524,46.8144,5.23945,11.7956,3.49377,12.866,,-0.399683
95,2017,1228618,162955,468351,262958,211516,504100,29434,1210177,40245,596649,79237,,,,,56.1455,45.1619,5.83892,13.2633,3.32555,13.2803,,-0.353388
95,2023,1281653,183713,504712,275093,214997,546347,33049,1264313,37002,622025,73597,80051,504712,25890,19,54.5049,42.598,6.04909,14.3341,2.92665,11.8318,15.8607,-0.203467
971,2012,403314,59350,167655,100502,125652,213013,30441,398516,6894,177628,51556,,,,,59.9457,74.9468,14.2907,14.7156,1.72992,29.0247,,-0.389781
971,2017,390253,69877,171988,100985,128209,227525,35235,386578,6012,174021,51091,,,,,58.7163,74.5453,15.4862,17.9056,1.55518,29.3591,,-1.11496
971,2023,384160,84501,179833,105734,133471,239695,33921,380872,5597,167378,40192,44150,179833,,,58.7957,74.2194,14.1517,21.9963,1.46952,24.0127,24.5506,-0.430874
972,2012,388364,63706,163445,89378,104911,201248,28484,383988,6346,176130,46623,,,,,54.6838,64.1873,14.1537,16.4037,1.65266,26.4708,,-0.909562
972,2017,372594,73768,167200,91210,105681,212577,32703,369067,5855,169052,41389,,,,,54.5514,63.2063,15.3841,19.7985,1.58643,24.483,,-1.08656
972,2023,360630,85701,171743,91951,106304,221736,33338,357715,5708,159731,30145,40845,171743,,,53.5399,61.8971,15.035,23.7642,1.59568,18.8724,23.7826,-0.500455
973,2012,239648,10574,68177,30571,44548,75965,6241,233675,7730,89797,28007,,,,,44.8406,65.3417,8.21563,4.4123,3.30801,31.1892,,0.451108
973,2017,268700,14199,77930,33409,49041,88986,8948,262469,7449,105012,37610,,,,,42.8705,62.9296,10.0555,5.28433,2.83805,35.815,,-0.051826
973,2023,293996,19340,88425,35318,51925,103121,10095,287674,5993,114196,34248,7196,88425,,,39.9412,58.7221,9.78947,6.57832,2.08326,29.9905,8.13797,-1.00788
974,2012,833944,76090,302322,156784,211804,335463,26466,820699,13906,378951,136104,,,,,51.8599,70.0591,7.88939,9.12411,1.69441,35.916,,-0.0305752
974,2017,853659,95086,328195,166841,220186,369895,32188,841631,12969,390684,132562,,,,,50.8359,67.09,8.70193,11.1386,1.54094,33.9307,,-0.681652
974,2023,889679,122295,359288,179785,234954,406285,32961,878052,14337,402558,111213,51766,359288,19110,36,50.0392,65.3943,8.11278,13.746,1.63282,27.6266,14.4079,-0.234247
